seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
349,1,16640,4096,12.480,7.424,74951.2,75000.0,1,2eb80be
350,2,16640,4096,12.640,7.200,80078.1,80000.0,1,2eb80be
351,3,16640,4096,12.496,7.136,84960.9,85000.0,1,2eb80be
352,0,16640,4096,12.480,7.552,10009.8,10000.0,1,2eb80be
353,1,16640,4096,13.648,8.704,14892.6,15000.0,1,2eb80be
354,2,16640,4096,12.352,7.136,20019.5,20000.0,1,2eb80be
355,3,16640,4096,12.832,7.904,24902.3,25000.0,1,2eb80be
356,0,16640,4096,12.480,7.552,30029.3,30000.0,1,2eb80be
357,1,16640,4096,12.368,6.848,34912.1,35000.0,1,2eb80be
358,2,16640,4096,12.272,7.200,40039.1,40000.0,1,2eb80be
359,3,16640,4096,12.560,7.360,44921.9,45000.0,1,2eb80be
360,0,16640,4096,14.352,9.280,50048.8,50000.0,1,2eb80be
361,1,16640,4096,13.552,8.544,54931.6,55000.0,1,2eb80be
362,2,16640,4096,12.192,7.264,60058.6,60000.0,1,2eb80be
363,3,16640,4096,13.824,8.320,64941.4,65000.0,1,2eb80be
364,0,16640,4096,14.432,9.344,70068.4,70000.0,1,2eb80be
365,1,16640,4096,12.656,7.360,74951.2,75000.0,1,2eb80be
366,2,16640,4096,13.936,9.088,80078.1,80000.0,1,2eb80be
367,3,16640,4096,13.168,7.808,84960.9,85000.0,1,2eb80be
368,0,16640,4096,14.640,9.408,10009.8,10000.0,1,2eb80be
369,1,16640,4096,12.720,7.616,14892.6,15000.0,1,2eb80be
370,2,16640,4096,12.688,7.648,20019.5,20000.0,1,2eb80be
371,3,16640,4096,14.192,9.088,24902.3,25000.0,1,2eb80be
372,0,16640,4096,12.672,7.584,30029.3,30000.0,1,2eb80be
373,1,16640,4096,12.912,8.096,34912.1,35000.0,1,2eb80be
374,2,16640,4096,12.448,7.328,40039.1,40000.0,1,2eb80be
375,3,16640,4096,14.144,9.152,44921.9,45000.0,1,2eb80be
376,0,16640,4096,12.688,7.584,50048.8,50000.0,1,2eb80be
377,1,16640,4096,13.680,8.608,54931.6,55000.0,1,2eb80be
378,2,16640,4096,13.840,8.704,60058.6,60000.0,1,2eb80be
379,3,16640,4096,12.400,7.328,64941.4,65000.0,1,2eb80be
380,0,16640,4096,13.857,8.832,70068.4,70000.0,1,2eb80be
381,1,16640,4096,13.936,8.928,74951.2,75000.0,1,2eb80be
382,2,16640,4096,12.352,7.360,80078.1,80000.0,1,2eb80be
383,3,16640,4096,12.784,7.680,84960.9,85000.0,1,2eb80be
384,0,16640,4096,12.480,7.360,10009.8,10000.0,1,2eb80be
385,1,16640,4096,13.392,8.416,14892.6,15000.0,1,2eb80be
386,2,16640,4096,12.544,7.488,20019.5,20000.0,1,2eb80be
387,3,16640,4096,12.608,7.360,24902.3,25000.0,1,2eb80be
