seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
0,0,16640,4096,137.713,14.368,10009.8,10000.0,1,2eb80be
1,1,16640,4096,45.088,25.280,14892.6,15000.0,1,2eb80be
2,2,16640,4096,13.712,7.744,20019.5,20000.0,1,2eb80be
3,3,16640,4096,46.432,26.304,24902.3,25000.0,1,2eb80be
4,0,16640,4096,14.080,8.000,30029.3,30000.0,1,2eb80be
5,1,16640,4096,43.232,24.288,34912.1,35000.0,1,2eb80be
6,2,16640,4096,13.184,7.328,40039.1,40000.0,1,2eb80be
7,3,16640,4096,11.792,6.080,44921.9,45000.0,1,2eb80be
8,0,16640,4096,14.080,8.448,50048.8,50000.0,1,2eb80be
9,1,16640,4096,13.568,7.680,54931.6,55000.0,1,2eb80be
10,2,16640,4096,13.504,7.744,60058.6,60000.0,1,2eb80be
11,3,16640,4096,12.912,7.040,64941.4,65000.0,1,2eb80be
12,0,16640,4096,13.472,7.776,70068.4,70000.0,1,2eb80be
13,1,16640,4096,19.280,5.792,74951.2,75000.0,1,2eb80be
14,2,16640,4096,11.328,5.760,80078.1,80000.0,1,2eb80be
15,3,16640,4096,12.752,8.256,84960.9,85000.0,1,2eb80be
16,0,16640,4096,11.792,6.112,10009.8,10000.0,1,2eb80be
17,1,16640,4096,12.896,7.168,14892.6,15000.0,1,2eb80be
18,2,16640,4096,11.648,5.792,20019.5,20000.0,1,2eb80be
19,3,16640,4096,12.976,8.256,24902.3,25000.0,1,2eb80be
20,0,16640,4096,13.200,7.552,30029.3,30000.0,1,2eb80be
21,1,16640,4096,12.976,7.136,34912.1,35000.0,1,2eb80be
22,2,16640,4096,14.816,9.088,40039.1,40000.0,1,2eb80be
23,3,16640,4096,11.408,5.664,44921.9,45000.0,1,2eb80be
24,0,16640,4096,12.608,6.912,50048.8,50000.0,1,2eb80be
25,1,16640,4096,13.216,7.488,54931.6,55000.0,1,2eb80be
26,2,16640,4096,11.360,5.632,60058.6,60000.0,1,2eb80be
27,3,16640,4096,12.896,7.968,64941.4,65000.0,1,2eb80be
28,0,16640,4096,12.896,7.456,70068.4,70000.0,1,2eb80be
29,1,16640,4096,12.928,8.416,74951.2,75000.0,1,2eb80be
30,2,16640,4096,12.992,8.256,80078.1,80000.0,1,2eb80be
31,3,16640,4096,12.992,8.256,84960.9,85000.0,1,2eb80be
32,0,16640,4096,12.608,8.064,10009.8,10000.0,1,2eb80be
33,1,16640,4096,12.352,7.648,14892.6,15000.0,1,2eb80be
34,2,16640,4096,13.024,8.256,20019.5,20000.0,1,2eb80be
35,3,16640,4096,12.592,7.872,24902.3,25000.0,1,2eb80be
36,0,16640,4096,12.656,6.976,30029.3,30000.0,1,2eb80be
37,1,16640,4096,13.200,7.488,34912.1,35000.0,1,2eb80be
38,2,16640,4096,12.640,6.720,40039.1,40000.0,1,2eb80be
39,3,16640,4096,12.576,7.584,44921.9,45000.0,1,2eb80be
40,0,16640,4096,12.976,7.328,50048.8,50000.0,1,2eb80be
41,1,16640,4096,12.544,6.976,54931.6,55000.0,1,2eb80be
42,2,16640,4096,14.704,9.056,60058.6,60000.0,1,2eb80be
43,3,16640,4096,11.296,5.568,64941.4,65000.0,1,2eb80be
44,0,16640,4096,12.672,7.008,70068.4,70000.0,1,2eb80be
45,1,16640,4096,12.864,7.136,74951.2,75000.0,1,2eb80be
46,2,16640,4096,13.472,7.136,80078.1,80000.0,1,2eb80be
47,3,16640,4096,12.928,8.320,84960.9,85000.0,1,2eb80be
48,0,16640,4096,12.544,7.872,10009.8,10000.0,1,2eb80be
49,1,16640,4096,12.320,7.648,14892.6,15000.0,1,2eb80be
50,2,16640,4096,12.688,7.456,20019.5,20000.0,1,2eb80be
51,3,16640,4096,12.864,7.072,24902.3,25000.0,1,2eb80be
52,0,16640,4096,13.344,7.520,30029.3,30000.0,1,2eb80be
53,1,16640,4096,12.384,6.816,34912.1,35000.0,1,2eb80be
54,2,16640,4096,12.272,7.584,40039.1,40000.0,1,2eb80be
55,3,16640,4096,13.200,8.416,44921.9,45000.0,1,2eb80be
56,0,16640,4096,13.056,8.192,50048.8,50000.0,1,2eb80be
57,1,16640,4096,13.088,8.320,54931.6,55000.0,1,2eb80be
58,2,16640,4096,12.320,7.520,60058.6,60000.0,1,2eb80be
59,3,16640,4096,12.896,8.128,64941.4,65000.0,1,2eb80be
60,0,16640,4096,12.513,7.968,70068.4,70000.0,1,2eb80be
61,1,16640,4096,12.608,6.912,74951.2,75000.0,1,2eb80be
62,2,16640,4096,13.104,7.424,80078.1,80000.0,1,2eb80be
63,3,16640,4096,12.960,7.232,84960.9,85000.0,1,2eb80be
64,0,16640,4096,12.336,7.744,10009.8,10000.0,1,2eb80be
65,1,16640,4096,12.864,8.160,14892.6,15000.0,1,2eb80be
66,2,16640,4096,13.376,8.512,20019.5,20000.0,1,2eb80be
67,3,16640,4096,13.136,8.576,24902.3,25000.0,1,2eb80be
68,0,16640,4096,13.184,7.584,30029.3,30000.0,1,2eb80be
69,1,16640,4096,12.672,7.232,34912.1,35000.0,1,2eb80be
70,2,16640,4096,12.512,6.880,40039.1,40000.0,1,2eb80be
71,3,16640,4096,12.400,7.712,44921.9,45000.0,1,2eb80be
72,0,16640,4096,12.704,7.200,50048.8,50000.0,1,2eb80be
73,1,16640,4096,12.736,7.072,54931.6,55000.0,1,2eb80be
74,2,16640,4096,12.624,7.040,60058.6,60000.0,1,2eb80be
75,3,16640,4096,12.656,7.232,64941.4,65000.0,1,2eb80be
76,0,16640,4096,12.560,7.904,70068.4,70000.0,1,2eb80be
77,1,16640,4096,12.448,7.744,74951.2,75000.0,1,2eb80be
