arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha
stream,1048576,4194304,4,1,NA,NA,464.37,2090.71,72.992,65.664,2561.846,2488.58,1.94,1561,999,999,0,2548,OK,b8cdbe2
stream-nv,1048576,4194304,4,1,NA,NA,469.54,340.56,80.993,65.568,812.130,11.54,5.84,4925,999,999,0,2528,OK,b8cdbe2
stream-nv,1048576,4194304,4,2,NA,NA,466.07,331.83,101.728,80.352,776.450,12.05,6.51,5149,999,999,0,2528,OK,b8cdbe2
stream,1048576,4194304,4,2,NA,NA,475.82,2070.10,73.232,65.792,2553.494,2480.34,1.97,1566,999,999,0,2528,OK,b8cdbe2
stream,1048576,4194304,4,3,NA,NA,482.04,2250.71,77.648,70.240,2743.110,2666.04,1.52,1458,999,999,0,2522,OK,b8cdbe2
stream-nv,1048576,4194304,4,3,NA,NA,485.95,345.44,91.329,69.664,820.578,13.71,7.65,4875,999,999,0,2528,OK,b8cdbe2
