arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha
stream-nv,1048576,4194304,2,1,NA,NA,485.34,352.26,89.264,72.736,836.034,12.53,6.16,4785,999,999,0,2522,OK,b8cdbe2
stream-nv,1048576,4194304,2,2,NA,NA,465.25,335.23,90.816,73.120,795.282,13.02,6.56,5030,999,999,0,2522,OK,b8cdbe2
stream-nv,1048576,4194304,2,3,NA,NA,467.97,336.37,87.328,69.696,803.970,12.98,6.34,4975,999,999,0,2522,OK,b8cdbe2
