e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
25.184,0,14.208,1.30114e+09,39707.8,5204.57,3.43788,0,32768,0,61.248
26.784,0,15.296,1.22342e+09,37335.7,4893.67,3.43788,0,32768,0,42.88
26.897,0,16.128,1.21828e+09,37178.9,4873.11,3.43788,0,32768,0,89.456
27.536,0,16.8,1.19001e+09,36316.1,4760.02,3.43788,0,32768,0,71.568
27.056,0,16.288,1.21112e+09,36960.4,4844.47,3.43788,0,32768,0,49.632
26.112,0,15.04,1.2549e+09,38296.6,5019.61,3.43788,0,32768,0,42.16
26.56,0,15.616,1.23373e+09,37650.6,4934.94,3.43788,0,32768,0,88.513
25.552,0,14.784,1.2824e+09,39135.9,5129.62,3.43788,0,32768,0,67.584
26.576,0,15.744,1.23299e+09,37627.9,4931.97,3.43788,0,32768,0,42.497
25.36,0,14.464,1.29211e+09,39432.2,5168.45,3.43788,0,32768,0,89.776
26.4,0,15.584,1.24121e+09,37878.8,4964.85,3.43788,0,32768,0,64.401
29.264,0,16.768,1.11974e+09,34171.7,4478.95,2.75031,0,32768,0,76.56
26.192,0,14.752,1.25107e+09,38179.6,5004.28,2.75031,0,32768,0,57.648
26.896,0,16.192,1.21832e+09,37180.2,4873.29,2.75031,0,32768,0,40.176
24.832,0,14.592,1.31959e+09,40270.6,5278.35,2.75031,0,32768,0,89.552
24.72,0,14.336,1.32557e+09,40453.1,5302.27,2.75031,0,32768,0,65.856
25.008,0,14.88,1.3103e+09,39987.2,5241.2,2.75031,0,32768,0,41.696
29.376,0,18.752,1.11547e+09,34041.4,4461.87,2.75031,0,32768,0,42.368
27.952,0,15.744,1.1723e+09,35775.6,4689.18,2.75031,0,32768,0,39.888
26.24,0,15.328,1.24878e+09,38109.8,4995.12,2.75031,0,32768,0,91.713
27.168,0,16.096,1.20612e+09,36808,4824.5,2.75031,0,32768,0,69.312
27.184,0,15.968,1.20541e+09,36786.3,4821.66,2.75031,0,32768,0,49.329
26.832,0,15.744,1.22123e+09,37268.9,4884.91,2.75031,0,32768,0,41.072
29.504,0,19.04,1.11063e+09,33893.7,4442.52,2.75031,0,32768,0,88.592
27.872,0,17.056,1.17566e+09,35878.3,4702.64,2.75031,0,32768,0,71.312
27.76,0,16.768,1.1804e+09,36023.1,4721.61,2.75031,0,32768,0,50.32
25.2,0,15.296,1.30032e+09,39682.5,5201.27,2.75031,0,32768,0,39.904
25.072,0,14.656,1.30696e+09,39885.1,5227.82,2.75031,0,32768,0,88.832
25.904,0,16.512,1.26498e+09,38604.1,5059.91,2.75031,0,32768,0,63.888
26.832,0,16.16,1.22123e+09,37268.9,4884.91,2.75031,0,32768,0,40.032
25.296,0,14.72,1.29538e+09,39531.9,5181.53,2.75031,0,32768,0,87.873
27.424,0,16.992,1.19487e+09,36464.4,4779.46,2.75031,0,32768,0,64.656
29.952,0,17.184,1.09402e+09,33386.8,4376.07,2.20025,0,32768,0,77.121
