seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
0,0,16640,4096,72.753,33.984,10009.8,10000.0,1,2eb80be
1,1,16640,4096,12.288,6.656,14892.6,15000.0,1,2eb80be
2,2,16640,4096,74.768,40.320,20019.5,20000.0,1,2eb80be
3,3,16640,4096,45.216,26.208,24902.3,25000.0,1,2eb80be
4,0,16640,4096,42.880,24.864,30029.3,30000.0,1,2eb80be
5,1,16640,4096,42.496,24.448,34912.1,35000.0,1,2eb80be
6,2,16640,4096,42.448,23.936,40039.1,40000.0,1,2eb80be
7,3,16640,4096,43.488,24.640,44921.9,45000.0,1,2eb80be
8,0,16640,4096,11.696,6.176,50048.8,50000.0,1,2eb80be
9,1,16640,4096,12.544,8.000,54931.6,55000.0,1,2eb80be
10,2,16640,4096,12.465,8.032,60058.6,60000.0,1,2eb80be
11,3,16640,4096,42.432,23.808,64941.4,65000.0,1,2eb80be
12,0,16640,4096,44.048,25.472,70068.4,70000.0,1,2eb80be
13,1,16640,4096,42.736,25.312,74951.2,75000.0,1,2eb80be
14,2,16640,4096,41.697,23.200,80078.1,80000.0,1,2eb80be
15,3,16640,4096,40.640,22.880,84960.9,85000.0,1,2eb80be
16,0,16640,4096,13.872,7.904,10009.8,10000.0,1,2eb80be
17,1,16640,4096,12.288,6.208,14892.6,15000.0,1,2eb80be
18,2,16640,4096,40.720,22.816,20019.5,20000.0,1,2eb80be
19,3,16640,4096,13.728,7.904,24902.3,25000.0,1,2eb80be
20,0,16640,4096,13.488,7.648,30029.3,30000.0,1,2eb80be
21,1,16640,4096,46.592,29.696,34912.1,35000.0,1,2eb80be
22,2,16640,4096,42.273,23.136,40039.1,40000.0,1,2eb80be
23,3,16640,4096,41.905,23.232,44921.9,45000.0,1,2eb80be
24,0,16640,4096,13.792,7.968,50048.8,50000.0,1,2eb80be
25,1,16640,4096,13.456,7.776,54931.6,55000.0,1,2eb80be
26,2,16640,4096,40.224,23.424,60058.6,60000.0,1,2eb80be
27,3,16640,4096,13.168,8.320,64941.4,65000.0,1,2eb80be
28,0,16640,4096,41.808,24.288,70068.4,70000.0,1,2eb80be
29,1,16640,4096,12.368,6.304,74951.2,75000.0,1,2eb80be
