arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
shmreg,65536,256,2,9.936,15.808,25.744,16.512,102.976,200,-,50ce845
hugereg,65536,256,2,9.968,15.776,25.744,16.320,102.976,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,3,9.904,15.776,25.680,16.288,102.720,200,managed, preferred location = GPU,50ce845
device,65536,256,3,289.681,29.248,318.929,30.752,1275.716,200,-,50ce845
hostalloc,65536,256,3,12.400,16.448,28.848,17.504,115.392,200,-,50ce845
heapreg,65536,256,3,10.320,16.384,26.704,17.184,106.816,200,-,50ce845
shmreg,65536,256,3,9.920,15.776,25.696,16.384,102.784,200,-,50ce845
hugereg,65536,256,3,9.952,15.808,25.760,16.736,103.040,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,4,9.888,15.808,25.696,16.192,102.784,200,managed, preferred location = GPU,50ce845
device,65536,256,4,256.225,29.664,285.889,30.752,1143.556,200,-,50ce845
hostalloc,65536,256,4,12.464,16.416,28.880,17.120,115.520,200,-,50ce845
heapreg,65536,256,4,10.288,16.224,26.512,16.928,106.048,200,-,50ce845
shmreg,65536,256,4,9.936,15.840,25.776,16.832,103.104,200,-,50ce845
hugereg,65536,256,4,9.984,15.808,25.792,17.024,103.168,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,5,9.856,15.808,25.664,17.920,102.656,200,managed, preferred location = GPU,50ce845
device,65536,256,5,536.354,29.952,566.306,46.144,2265.224,200,-,50ce845
hostalloc,65536,256,5,12.496,16.480,28.976,31.296,115.904,200,-,50ce845
heapreg,65536,256,5,10.304,16.512,26.816,25.248,107.264,200,-,50ce845
shmreg,65536,256,5,9.840,15.840,25.680,17.984,102.720,200,-,50ce845
hugereg,65536,256,5,9.872,15.808,25.680,17.792,102.720,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,1,33.376,23.904,57.280,24.608,57.280,200,managed, preferred location = GPU,50ce845
device,262144,1024,1,142.272,18.016,160.288,33.952,160.288,200,-,50ce845
hostalloc,262144,1024,1,39.584,24.672,64.256,26.144,64.256,200,-,50ce845
heapreg,262144,1024,1,51.937,24.096,76.033,25.952,76.033,200,-,50ce845
shmreg,262144,1024,1,40.912,23.744,64.656,24.768,64.656,200,-,50ce845
hugereg,262144,1024,1,35.056,23.712,58.768,24.576,58.768,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,2,33.696,23.808,57.504,24.576,57.504,200,managed, preferred location = GPU,50ce845
device,262144,1024,2,147.792,18.208,166.000,33.408,166.000,200,-,50ce845
hostalloc,262144,1024,2,39.665,24.352,64.017,25.824,64.017,200,-,50ce845
heapreg,262144,1024,2,50.608,23.744,74.352,25.184,74.352,200,-,50ce845
shmreg,262144,1024,2,40.880,23.680,64.560,24.480,64.560,200,-,50ce845
hugereg,262144,1024,2,35.664,23.680,59.344,24.672,59.344,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,3,33.968,26.464,60.432,28.384,60.432,200,managed, preferred location = GPU,50ce845
device,262144,1024,3,255.153,20.480,275.633,36.288,275.633,200,-,50ce845
hostalloc,262144,1024,3,43.088,27.776,70.864,31.776,70.864,200,-,50ce845
heapreg,262144,1024,3,51.472,27.488,78.960,30.048,78.960,200,-,50ce845
shmreg,262144,1024,3,41.424,26.528,67.952,28.480,67.952,200,-,50ce845
hugereg,262144,1024,3,35.680,26.752,62.432,28.224,62.432,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,4,34.144,27.040,61.184,28.576,61.184,200,managed, preferred location = GPU,50ce845
device,262144,1024,4,502.609,31.264,533.873,46.592,533.873,200,-,50ce845
hostalloc,262144,1024,4,44.592,28.352,72.944,74.912,72.944,200,-,50ce845
heapreg,262144,1024,4,51.584,28.320,79.904,52.640,79.904,200,-,50ce845
shmreg,262144,1024,4,41.776,27.168,68.944,31.200,68.944,200,-,50ce845
hugereg,262144,1024,4,36.416,27.360,63.776,30.080,63.776,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,5,34.144,27.136,61.280,29.312,61.280,200,managed, preferred location = GPU,50ce845
device,262144,1024,5,438.833,30.624,469.457,47.168,469.457,200,-,50ce845
hostalloc,262144,1024,5,44.384,28.192,72.576,75.712,72.576,200,-,50ce845
heapreg,262144,1024,5,52.096,28.128,80.224,76.032,80.224,200,-,50ce845
shmreg,262144,1024,5,41.696,27.168,68.864,42.560,68.864,200,-,50ce845
hugereg,262144,1024,5,36.048,27.360,63.408,28.608,63.408,200,THP(payload<2MB, no effect),50ce845
mgdwrite,1048576,4096,1,193.857,70.752,264.609,86.528,66.152,200,managed, preferred location = GPU,50ce845
device,1048576,4096,1,587.458,51.136,638.594,71.872,159.648,200,-,50ce845
hostalloc,1048576,4096,1,183.584,60.480,244.064,79.456,61.016,200,-,50ce845
heapreg,1048576,4096,1,242.528,72.256,314.784,83.968,78.696,200,-,50ce845
shmreg,1048576,4096,1,218.609,69.792,288.401,82.080,72.100,200,-,50ce845
hugereg,1048576,4096,1,202.401,71.264,273.665,80.992,68.416,200,THP,50ce845
mgdwrite,1048576,4096,2,196.481,70.432,266.913,85.024,66.728,200,managed, preferred location = GPU,50ce845
device,1048576,4096,2,448.706,43.520,492.226,66.944,123.056,200,-,50ce845
hostalloc,1048576,4096,2,179.600,60.416,240.016,77.792,60.004,200,-,50ce845
heapreg,1048576,4096,2,246.401,72.064,318.465,83.936,79.616,200,-,50ce845
shmreg,1048576,4096,2,222.225,69.600,291.825,73.632,72.956,200,-,50ce845
hugereg,1048576,4096,2,206.913,71.168,278.081,83.904,69.520,200,THP,50ce845
mgdwrite,1048576,4096,3,192.305,71.104,263.409,86.688,65.852,200,managed, preferred location = GPU,50ce845
device,1048576,4096,3,527.377,49.312,576.689,54.400,144.172,200,-,50ce845
hostalloc,1048576,4096,3,173.361,63.424,236.785,80.192,59.196,200,-,50ce845
heapreg,1048576,4096,3,246.401,71.904,318.305,82.944,79.576,200,-,50ce845
shmreg,1048576,4096,3,217.809,69.792,287.601,79.552,71.900,200,-,50ce845
hugereg,1048576,4096,3,203.169,70.720,273.889,74.400,68.472,200,THP,50ce845
