e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
24.48,9.088,6.944,3.34641e+08,40849.7,1338.56,1.02386,0,8192,0
23.6,8.992,7.712,3.47119e+08,42372.9,1388.47,1.02386,0,8192,0
23.184,9.184,7.04,3.53347e+08,43133.2,1413.39,1.02386,0,8192,0
24.208,10.56,6.624,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
24.288,10.4,6.72,3.37286e+08,41172.6,1349.14,1.02386,0,8192,0
24.224,8.736,6.72,3.38177e+08,41281.4,1352.71,1.02386,0,8192,0
22.608,8.896,6.72,3.6235e+08,44232.1,1449.4,1.02386,0,8192,0
23.04,8.864,7.168,3.55556e+08,43402.8,1422.22,1.02386,0,8192,0
25.248,10.592,7.648,3.24461e+08,39607.1,1297.85,1.02386,0,8192,0
24.256,9.696,7.552,3.37731e+08,41226.9,1350.92,1.02386,0,8192,0
24.656,9.28,6.688,3.32252e+08,40558.1,1329.01,1.02386,0,8192,0
22.736,8.896,6.816,3.6031e+08,43983.1,1441.24,1.02386,0,8192,0
23.12,9.152,6.784,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
25.088,10.912,7.2,3.26531e+08,39859.7,1306.12,1.02386,0,8192,0
24.128,9.888,7.168,3.39523e+08,41445.6,1358.09,1.02386,0,8192,0
24.672,9.312,6.912,3.32036e+08,40531.8,1328.15,1.02386,0,8192,0
22.816,9.12,6.72,3.59046e+08,43828.9,1436.19,1.02386,0,8192,0
24.352,9.984,7.36,3.36399e+08,41064.4,1345.6,1.02386,0,8192,0
25.345,10.528,7.584,3.2322e+08,39455.5,1292.88,1.02386,0,8192,0
24.032,9.92,7.072,3.40879e+08,41611.2,1363.52,1.02386,0,8192,0
25.408,9.12,7.104,3.22418e+08,39357.7,1289.67,1.02386,0,8192,0
22.912,8.672,7.04,3.57542e+08,43645.3,1430.17,1.02386,0,8192,0
23.248,8.8,7.36,3.52374e+08,43014.5,1409.5,1.02386,0,8192,0
25.264,10.464,7.584,3.24256e+08,39582,1297.02,1.02386,0,8192,0
24.144,9.824,7.2,3.39298e+08,41418.2,1357.19,1.02386,0,8192,0
26.016,8.192,7.2,3.14883e+08,38437.9,1259.53,1.02386,0,8192,0
23.28,8.992,7.264,3.5189e+08,42955.3,1407.56,1.02386,0,8192,0
23.184,9.12,6.496,3.53347e+08,43133.2,1413.39,1.02386,0,8192,0
25.152,10.848,7.36,3.257e+08,39758.3,1302.8,1.02386,0,8192,0
24.24,9.952,7.296,3.37954e+08,41254.1,1351.82,1.02386,0,8192,0
24.752,8.928,6.912,3.30963e+08,40400.8,1323.85,1.02386,0,8192,0
22.624,8.8,6.848,3.62093e+08,44200.8,1448.37,1.02386,0,8192,0
24.256,10.208,6.624,3.37731e+08,41226.9,1350.92,1.02386,0,8192,0
25.2,10.656,7.552,3.25079e+08,39682.5,1300.32,1.02386,0,8192,0
25.136,10.688,7.392,3.25907e+08,39783.6,1303.63,1.02386,0,8192,0
24.768,9.216,6.752,3.30749e+08,40374.7,1323,1.02386,0,8192,0
22.576,8.672,6.912,3.62863e+08,44294.8,1451.45,1.02386,0,8192,0
23.152,8.864,6.944,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
25.168,10.816,7.456,3.25493e+08,39733,1301.97,1.02386,0,8192,0
24.288,10.144,7.136,3.37286e+08,41172.6,1349.14,1.02386,0,8192,0
24.784,9.152,6.784,3.30536e+08,40348.6,1322.14,1.02386,0,8192,0
23.152,8.992,6.944,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
25.184,10.848,7.232,3.25286e+08,39707.8,1301.14,1.02386,0,8192,0
28.256,10.752,7.168,2.89921e+08,35390.7,1159.68,1.02386,0,8192,0
23.104,8.8,7.168,3.54571e+08,43282.5,1418.28,1.02386,0,8192,0
26.209,8.896,7.008,3.12564e+08,38154.8,1250.26,1.02386,0,8192,0
23.344,9.088,7.2,3.50925e+08,42837.6,1403.7,1.02386,0,8192,0
26.336,12.224,6.88,3.11057e+08,37970.8,1244.23,1.02386,0,8192,0
24.016,9.824,7.136,3.41106e+08,41638.9,1364.42,1.02386,0,8192,0
23.072,8.864,7.296,3.55062e+08,43342.6,1420.25,1.02386,0,8192,0
25.248,8.96,7.616,3.24461e+08,39607.1,1297.85,1.02386,0,8192,0
23.2,8.864,7.2,3.53103e+08,43103.4,1412.41,1.02386,0,8192,0
22.544,7.936,7.328,3.63378e+08,44357.7,1453.51,1.02386,0,8192,0
24.256,10.464,6.752,3.37731e+08,41226.9,1350.92,1.02386,0,8192,0
23.12,9.024,7.136,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
24.16,10.048,7.2,3.39073e+08,41390.7,1356.29,1.02386,0,8192,0
24.224,9.76,7.392,3.38177e+08,41281.4,1352.71,1.02386,0,8192,0
25.952,8.576,7.264,3.1566e+08,38532.7,1262.64,1.02386,0,8192,0
23.52,9.088,7.424,3.48299e+08,42517,1393.2,1.02386,0,8192,0
22.848,9.088,6.72,3.58543e+08,43767.5,1434.17,1.02386,0,8192,0
23.44,8.928,7.488,3.49488e+08,42662.1,1397.95,1.02386,0,8192,0
23.248,8.8,7.424,3.52374e+08,43014.5,1409.5,1.02386,0,8192,0
24.208,10.304,6.784,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
22.784,8.928,6.72,3.59551e+08,43890.4,1438.2,1.02386,0,8192,0
23.472,9.216,7.04,3.49012e+08,42604,1396.05,1.02386,0,8192,0
27.136,9.28,10.784,3.01887e+08,36851.4,1207.55,1.02386,0,8192,0
23.008,9.152,7.008,3.5605e+08,43463.1,1424.2,1.02386,0,8192,0
24.24,9.952,7.2,3.37954e+08,41254.1,1351.82,1.02386,0,8192,0
24.736,9.056,6.944,3.31177e+08,40426.9,1324.71,1.02386,0,8192,0
