arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
shmreg_port,16384,64,1,3.056,8.832,11.888,10.240,190.208,200,cudaHostRegister Portable,6070ae1
shmreg_big,16384,64,1,3.008,8.768,11.776,10.208,188.416,200,registration span rounded up to 2 MB,6070ae1
hostalloc,16384,64,2,0.576,8.832,9.408,9.088,150.528,200,-,6070ae1
ha_def,16384,64,2,0.576,8.896,9.472,9.984,151.552,200,cudaHostAlloc Default,6070ae1
ha_wc,16384,64,2,0.576,8.864,9.440,8.960,151.040,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,16384,64,2,0.592,8.864,9.456,8.960,151.296,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,16384,64,2,3.104,8.992,12.096,10.272,193.536,200,-,6070ae1
shmreg_def,16384,64,2,3.056,8.608,11.664,10.144,186.624,200,cudaHostRegister Default,6070ae1
shmreg_port,16384,64,2,3.136,8.960,12.096,10.240,193.536,200,cudaHostRegister Portable,6070ae1
shmreg_big,16384,64,2,3.056,8.928,11.984,10.208,191.744,200,registration span rounded up to 2 MB,6070ae1
hostalloc,16384,64,3,0.576,8.864,9.440,8.992,151.040,200,-,6070ae1
ha_def,16384,64,3,0.576,8.896,9.472,9.216,151.552,200,cudaHostAlloc Default,6070ae1
ha_wc,16384,64,3,0.576,8.864,9.440,8.960,151.040,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,16384,64,3,0.576,8.896,9.472,8.960,151.552,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,16384,64,3,3.120,8.992,12.112,10.240,193.792,200,-,6070ae1
shmreg_def,16384,64,3,3.056,8.608,11.664,10.112,186.624,200,cudaHostRegister Default,6070ae1
shmreg_port,16384,64,3,3.152,8.960,12.112,10.272,193.792,200,cudaHostRegister Portable,6070ae1
shmreg_big,16384,64,3,3.024,8.736,11.760,10.240,188.160,200,registration span rounded up to 2 MB,6070ae1
hostalloc,16384,64,4,0.560,8.928,9.488,10.176,151.808,200,-,6070ae1
ha_def,16384,64,4,0.560,8.960,9.520,10.208,152.320,200,cudaHostAlloc Default,6070ae1
ha_wc,16384,64,4,0.560,8.896,9.456,9.952,151.296,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,16384,64,4,0.576,8.896,9.472,9.920,151.552,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,16384,64,4,3.024,8.672,11.696,10.272,187.136,200,-,6070ae1
shmreg_def,16384,64,4,3.008,8.640,11.648,10.112,186.368,200,cudaHostRegister Default,6070ae1
shmreg_port,16384,64,4,3.056,8.736,11.792,10.144,188.672,200,cudaHostRegister Portable,6070ae1
shmreg_big,16384,64,4,2.992,8.768,11.760,10.144,188.160,200,registration span rounded up to 2 MB,6070ae1
hostalloc,16384,64,5,0.576,8.864,9.440,9.056,151.040,200,-,6070ae1
ha_def,16384,64,5,0.576,8.896,9.472,9.216,151.552,200,cudaHostAlloc Default,6070ae1
ha_wc,16384,64,5,0.576,8.896,9.472,8.992,151.552,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,16384,64,5,0.576,8.896,9.472,9.152,151.552,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,16384,64,5,3.104,8.960,12.064,10.240,193.024,200,-,6070ae1
shmreg_def,16384,64,5,3.056,8.736,11.792,10.112,188.672,200,cudaHostRegister Default,6070ae1
shmreg_port,16384,64,5,3.152,8.896,12.048,10.208,192.768,200,cudaHostRegister Portable,6070ae1
shmreg_big,16384,64,5,3.008,8.640,11.648,10.240,186.368,200,registration span rounded up to 2 MB,6070ae1
hostalloc,32768,128,1,1.104,15.616,16.720,15.872,133.760,200,-,6070ae1
ha_def,32768,128,1,1.104,15.584,16.688,16.288,133.504,200,cudaHostAlloc Default,6070ae1
ha_wc,32768,128,1,1.120,15.616,16.736,16.288,133.888,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,32768,128,1,1.104,15.616,16.720,16.384,133.760,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,32768,128,1,5.376,15.424,20.800,16.000,166.400,200,-,6070ae1
shmreg_def,32768,128,1,5.376,15.424,20.800,15.840,166.400,200,cudaHostRegister Default,6070ae1
shmreg_port,32768,128,1,5.344,15.392,20.736,16.128,165.888,200,cudaHostRegister Portable,6070ae1
shmreg_big,32768,128,1,5.312,15.424,20.736,16.128,165.888,200,registration span rounded up to 2 MB,6070ae1
hostalloc,32768,128,2,1.104,15.488,16.592,15.776,132.736,200,-,6070ae1
ha_def,32768,128,2,1.104,15.456,16.560,15.744,132.480,200,cudaHostAlloc Default,6070ae1
ha_wc,32768,128,2,1.104,15.456,16.560,15.712,132.480,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,32768,128,2,1.104,15.456,16.560,16.288,132.480,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,32768,128,2,5.584,15.168,20.752,16.160,166.016,200,-,6070ae1
shmreg_def,32768,128,2,5.488,15.104,20.592,15.904,164.736,200,cudaHostRegister Default,6070ae1
shmreg_port,32768,128,2,5.504,15.104,20.608,15.904,164.864,200,cudaHostRegister Portable,6070ae1
shmreg_big,32768,128,2,5.472,15.168,20.640,15.936,165.120,200,registration span rounded up to 2 MB,6070ae1
hostalloc,32768,128,3,1.104,15.456,16.560,16.000,132.480,200,-,6070ae1
ha_def,32768,128,3,1.104,15.424,16.528,15.744,132.224,200,cudaHostAlloc Default,6070ae1
ha_wc,32768,128,3,1.104,15.456,16.560,15.872,132.480,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,32768,128,3,1.104,15.456,16.560,16.224,132.480,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,32768,128,3,5.504,15.168,20.672,15.936,165.376,200,-,6070ae1
shmreg_def,32768,128,3,5.504,15.104,20.608,15.936,164.864,200,cudaHostRegister Default,6070ae1
shmreg_port,32768,128,3,5.520,15.168,20.688,15.872,165.504,200,cudaHostRegister Portable,6070ae1
shmreg_big,32768,128,3,5.456,15.232,20.688,16.064,165.504,200,registration span rounded up to 2 MB,6070ae1
hostalloc,32768,128,4,1.104,15.424,16.528,15.648,132.224,200,-,6070ae1
ha_def,32768,128,4,1.104,15.424,16.528,15.616,132.224,200,cudaHostAlloc Default,6070ae1
ha_wc,32768,128,4,1.104,15.456,16.560,15.616,132.480,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,32768,128,4,1.088,15.424,16.512,15.616,132.096,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,32768,128,4,5.536,15.040,20.576,15.712,164.608,200,-,6070ae1
shmreg_def,32768,128,4,5.504,15.072,20.576,15.712,164.608,200,cudaHostRegister Default,6070ae1
shmreg_port,32768,128,4,5.552,15.040,20.592,15.648,164.736,200,cudaHostRegister Portable,6070ae1
shmreg_big,32768,128,4,5.487,15.136,20.623,15.808,164.984,200,registration span rounded up to 2 MB,6070ae1
hostalloc,32768,128,5,1.088,15.456,16.544,15.680,132.352,200,-,6070ae1
ha_def,32768,128,5,1.088,15.456,16.544,15.680,132.352,200,cudaHostAlloc Default,6070ae1
ha_wc,32768,128,5,1.104,15.456,16.560,15.712,132.480,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,32768,128,5,1.088,15.456,16.544,15.680,132.352,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,32768,128,5,5.584,15.072,20.656,15.776,165.248,200,-,6070ae1
shmreg_def,32768,128,5,5.472,15.072,20.544,15.904,164.352,200,cudaHostRegister Default,6070ae1
shmreg_port,32768,128,5,5.584,15.072,20.656,15.776,165.248,200,cudaHostRegister Portable,6070ae1
shmreg_big,32768,128,5,5.488,15.072,20.560,15.808,164.480,200,registration span rounded up to 2 MB,6070ae1
hostalloc,65536,256,1,2.400,17.280,19.680,18.336,78.720,200,-,6070ae1
ha_def,65536,256,1,2.336,17.312,19.648,18.112,78.592,200,cudaHostAlloc Default,6070ae1
ha_wc,65536,256,1,2.304,17.376,19.680,18.304,78.720,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,65536,256,1,2.304,17.344,19.648,18.304,78.592,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,65536,256,1,10.464,17.248,27.712,17.952,110.848,200,-,6070ae1
shmreg_def,65536,256,1,10.416,17.248,27.664,18.048,110.656,200,cudaHostRegister Default,6070ae1
shmreg_port,65536,256,1,10.512,17.504,28.016,18.176,112.064,200,cudaHostRegister Portable,6070ae1
shmreg_big,65536,256,1,10.336,17.248,27.584,18.112,110.336,200,registration span rounded up to 2 MB,6070ae1
hostalloc,65536,256,2,2.368,17.312,19.680,18.272,78.720,200,-,6070ae1
ha_def,65536,256,2,2.320,17.344,19.664,18.176,78.656,200,cudaHostAlloc Default,6070ae1
ha_wc,65536,256,2,2.272,17.376,19.648,18.208,78.592,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,65536,256,2,2.288,17.376,19.664,18.272,78.656,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,65536,256,2,10.480,17.248,27.728,18.016,110.912,200,-,6070ae1
shmreg_def,65536,256,2,10.448,17.312,27.760,18.048,111.040,200,cudaHostRegister Default,6070ae1
shmreg_port,65536,256,2,10.544,17.440,27.984,18.240,111.936,200,cudaHostRegister Portable,6070ae1
shmreg_big,65536,256,2,10.368,17.312,27.680,18.880,110.720,200,registration span rounded up to 2 MB,6070ae1
hostalloc,65536,256,3,2.368,17.376,19.744,18.336,78.976,200,-,6070ae1
ha_def,65536,256,3,2.320,17.312,19.632,18.144,78.528,200,cudaHostAlloc Default,6070ae1
ha_wc,65536,256,3,2.288,17.376,19.664,18.336,78.656,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,65536,256,3,2.272,17.376,19.648,18.240,78.592,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,65536,256,3,10.528,17.280,27.808,18.816,111.232,200,-,6070ae1
shmreg_def,65536,256,3,10.448,17.312,27.760,18.144,111.040,200,cudaHostRegister Default,6070ae1
shmreg_port,65536,256,3,10.576,17.440,28.016,18.240,112.064,200,cudaHostRegister Portable,6070ae1
shmreg_big,65536,256,3,10.400,17.344,27.744,18.944,110.976,200,registration span rounded up to 2 MB,6070ae1
hostalloc,65536,256,4,2.352,17.344,19.696,18.304,78.784,200,-,6070ae1
ha_def,65536,256,4,2.304,17.344,19.648,18.176,78.592,200,cudaHostAlloc Default,6070ae1
ha_wc,65536,256,4,2.272,17.376,19.648,18.304,78.592,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,65536,256,4,2.272,17.376,19.648,18.240,78.592,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,65536,256,4,10.480,17.280,27.760,17.984,111.040,200,-,6070ae1
shmreg_def,65536,256,4,10.432,17.312,27.744,18.240,110.976,200,cudaHostRegister Default,6070ae1
shmreg_port,65536,256,4,10.544,17.344,27.888,18.240,111.552,200,cudaHostRegister Portable,6070ae1
shmreg_big,65536,256,4,10.368,17.312,27.680,18.176,110.720,200,registration span rounded up to 2 MB,6070ae1
hostalloc,65536,256,5,2.352,17.344,19.696,18.272,78.784,200,-,6070ae1
ha_def,65536,256,5,2.320,17.344,19.664,18.240,78.656,200,cudaHostAlloc Default,6070ae1
ha_wc,65536,256,5,2.272,17.376,19.648,18.272,78.592,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,65536,256,5,2.272,17.376,19.648,18.240,78.592,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,65536,256,5,10.512,17.312,27.824,17.952,111.296,200,-,6070ae1
shmreg_def,65536,256,5,10.416,17.312,27.728,18.176,110.912,200,cudaHostRegister Default,6070ae1
shmreg_port,65536,256,5,10.576,17.536,28.112,18.272,112.448,200,cudaHostRegister Portable,6070ae1
