arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
ha_def,262144,1024,2,10.816,24.192,35.008,24.416,35.008,200,cudaHostAlloc Default,6070ae1
ha_wc,262144,1024,2,10.736,24.096,34.832,24.448,34.832,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,262144,1024,2,10.512,23.648,34.160,24.512,34.160,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,262144,1024,2,33.568,23.968,57.536,24.128,57.536,200,-,6070ae1
shmreg_def,262144,1024,2,30.912,23.744,54.656,24.064,54.656,200,cudaHostRegister Default,6070ae1
shmreg_port,262144,1024,2,33.776,23.808,57.584,24.160,57.584,200,cudaHostRegister Portable,6070ae1
shmreg_big,262144,1024,2,35.200,23.968,59.168,24.480,59.168,200,registration span rounded up to 2 MB,6070ae1
hostalloc,262144,1024,3,10.623,23.584,34.207,24.416,34.207,200,-,6070ae1
ha_def,262144,1024,3,10.736,24.288,35.024,24.512,35.024,200,cudaHostAlloc Default,6070ae1
ha_wc,262144,1024,3,10.672,23.616,34.288,24.480,34.288,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,262144,1024,3,10.496,23.680,34.176,24.512,34.176,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,262144,1024,3,33.568,24.000,57.568,24.160,57.568,200,-,6070ae1
shmreg_def,262144,1024,3,30.975,23.776,54.751,24.288,54.751,200,cudaHostRegister Default,6070ae1
shmreg_port,262144,1024,3,33.808,23.840,57.648,24.192,57.648,200,cudaHostRegister Portable,6070ae1
shmreg_big,262144,1024,3,35.248,24.032,59.280,24.512,59.280,200,registration span rounded up to 2 MB,6070ae1
hostalloc,262144,1024,4,10.608,23.584,34.192,24.384,34.192,200,-,6070ae1
ha_def,262144,1024,4,10.768,24.224,34.992,24.416,34.992,200,cudaHostAlloc Default,6070ae1
ha_wc,262144,1024,4,10.704,23.616,34.320,24.448,34.320,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,262144,1024,4,10.480,23.680,34.160,24.480,34.160,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,262144,1024,4,33.552,23.968,57.520,24.160,57.520,200,-,6070ae1
shmreg_def,262144,1024,4,30.944,23.776,54.720,24.256,54.720,200,cudaHostRegister Default,6070ae1
shmreg_port,262144,1024,4,33.823,23.808,57.631,24.128,57.631,200,cudaHostRegister Portable,6070ae1
shmreg_big,262144,1024,4,35.248,23.968,59.216,24.448,59.216,200,registration span rounded up to 2 MB,6070ae1
hostalloc,262144,1024,5,10.592,23.584,34.176,24.480,34.176,200,-,6070ae1
ha_def,262144,1024,5,10.768,24.192,34.960,24.416,34.960,200,cudaHostAlloc Default,6070ae1
ha_wc,262144,1024,5,10.704,23.520,34.224,24.384,34.224,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,262144,1024,5,10.512,23.648,34.160,24.448,34.160,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,262144,1024,5,33.552,24.000,57.552,24.192,57.552,200,-,6070ae1
shmreg_def,262144,1024,5,31.040,23.776,54.816,24.256,54.816,200,cudaHostRegister Default,6070ae1
shmreg_port,262144,1024,5,33.984,23.744,57.728,24.192,57.728,200,cudaHostRegister Portable,6070ae1
