arm,mode,pace_us,size,rep,pos,e2e_p50,fft_p50,resid,n,sm_mhz,gitsha
base,unsat,5377,1048576,5,1,128.881,45.664,83.217,1000,2424,75b6871+deck
opt,unsat,5377,1048576,5,2,71.169,63.904,7.265,1000,2424,75b6871+deck
daq,unsat,5377,1048576,5,3,67.264,62.272,4.992,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,5,4,103.696,79.968,23.728,1000,2431,75b6871+deck
opt,unsat,5377,1048576,6,1,76.048,68.832,7.216,1000,2424,75b6871+deck
daq,unsat,5377,1048576,6,2,65.056,60.064,4.992,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,6,3,102.272,79.776,22.496,1000,2431,75b6871+deck
base,unsat,5377,1048576,6,4,127.680,44.672,83.008,1000,2424,75b6871+deck
daq,unsat,5377,1048576,7,1,66.768,61.856,4.912,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,7,2,105.168,82.208,22.960,1000,2431,75b6871+deck
base,unsat,5377,1048576,7,3,126.337,43.264,83.073,1000,2418,75b6871+deck
opt,unsat,5377,1048576,7,4,73.344,66.240,7.104,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,8,1,111.600,81.504,30.096,1000,2431,75b6871+deck
base,unsat,5377,1048576,8,2,126.753,43.616,83.137,1000,2424,75b6871+deck
opt,unsat,5377,1048576,8,3,73.313,66.048,7.265,1000,2424,75b6871+deck
daq,unsat,5377,1048576,8,4,67.617,62.656,4.961,1000,2424,75b6871+deck
base,unsat,5377,1048576,9,1,131.216,48.224,82.992,1000,2424,75b6871+deck
opt,unsat,5377,1048576,9,2,75.569,68.256,7.313,1000,2424,75b6871+deck
daq,unsat,5377,1048576,9,3,64.032,59.040,4.992,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,9,4,108.481,82.272,26.209,1000,2431,75b6871+deck
opt,unsat,5377,1048576,10,1,73.056,65.632,7.424,1000,2424,75b6871+deck
daq,unsat,5377,1048576,10,2,69.472,64.480,4.992,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,10,3,117.792,87.904,29.888,1000,2431,75b6871+deck
base,unsat,5377,1048576,10,4,130.641,47.488,83.153,1000,2424,75b6871+deck
daq,unsat,5377,1048576,11,1,68.784,63.872,4.912,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,11,2,99.888,78.592,21.296,1000,2431,75b6871+deck
base,unsat,5377,1048576,11,3,122.464,39.360,83.104,1000,2418,75b6871+deck
opt,unsat,5377,1048576,11,4,76.352,68.896,7.456,1000,2424,75b6871+deck
extbuf,unsat,5377,1048576,12,1,102.225,77.440,24.785,1000,2431,75b6871+deck
base,unsat,5377,1048576,12,2,128.881,45.952,82.929,1000,2424,75b6871+deck
opt,unsat,5377,1048576,12,3,78.144,70.880,7.264,1000,2424,75b6871+deck
daq,unsat,5377,1048576,12,4,65.345,60.384,4.961,1000,2424,75b6871+deck
