arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha
echo,1048576,4194304,4,1,1379.05,1734.86,486.99,341.54,97.648,76.608,1864.884,17.26,3.14,NA,299,299,0,2489,OK,b8cdbe2
echo-cal,1048576,4194304,4,1,109.39,390.95,0.03,1.07,0.112,0.000,111.008,4.74,1.86,NA,1999,1999,0,2418,OK,b8cdbe2
stream,1048576,4194304,4,1,NA,NA,464.45,2001.52,67.808,60.416,2467.190,2398.69,1.41,1621,999,999,0,2528,OK,b8cdbe2
echo-cal,1048576,4194304,4,2,23.47,253.96,0.03,1.06,0.128,0.000,24.432,3.36,0.96,NA,1999,1999,0,2405,OK,b8cdbe2
stream,1048576,4194304,4,2,NA,NA,481.24,1970.10,69.760,62.368,2453.861,2383.85,1.10,1630,999,999,0,2528,OK,b8cdbe2
echo,1048576,4194304,4,2,1438.43,1898.62,486.91,344.84,99.601,78.560,1928.676,18.24,3.49,NA,299,299,0,2476,OK,b8cdbe2
stream,1048576,4194304,4,3,NA,NA,482.82,2048.58,76.224,68.864,2532.885,2456.90,1.26,1579,999,999,0,2528,OK,b8cdbe2
echo,1048576,4194304,4,3,1390.98,2154.82,488.08,338.49,88.897,73.920,1880.261,16.06,2.88,NA,299,299,0,2476,OK,b8cdbe2
echo-cal,1048576,4194304,4,3,26.76,267.93,0.03,1.05,0.112,0.000,27.696,4.27,1.89,NA,1999,1999,0,2398,OK,b8cdbe2
