arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha
stream-nv,1048576,4194304,8,1,NA,NA,467.61,332.62,90.896,73.632,797.186,13.22,6.58,5017,999,999,0,2522,OK,b8cdbe2
stream-nv,1048576,4194304,8,2,NA,NA,466.86,336.49,96.288,78.688,802.129,13.02,6.62,4986,999,999,0,2522,OK,b8cdbe2
stream-nv,1048576,4194304,8,3,NA,NA,467.40,336.19,102.672,81.312,798.450,14.80,8.69,5009,999,999,0,2528,OK,b8cdbe2
