e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
15.2,0,4.288,2.69474e+08,65789.5,1077.89,0,0,4096,0,0
17.824,0,4.736,2.29803e+08,56104.1,919.21,0,0,4096,0,0
21.568,0,6.304,1.89911e+08,46365,759.644,0,0,4096,0,0
19.616,0,6.656,2.08809e+08,50978.8,835.237,0,0,4096,0,0
16.56,0,4.768,2.47343e+08,60386.5,989.372,0,0,4096,0,0
20.064,0,5.088,2.04147e+08,49840.5,816.587,0,0,4096,0,0
16.672,0,5.152,2.45681e+08,59980.8,982.726,0,0,4096,0,0
17.936,0,6.688,2.28368e+08,55753.8,913.47,0,0,4096,0,0
20.064,0,6.496,2.04147e+08,49840.5,816.587,0,0,4096,0,0
19.92,0,6.4,2.05622e+08,50200.8,822.49,0,0,4096,0,0
20,0,4.096,2.048e+08,50000,819.2,0,0,4096,0,0
9.776,0,4.864,4.18985e+08,102291,1675.94,0,0,4096,0,0
8.768,0,4.096,4.67153e+08,114051,1868.61,0,0,4096,0,0
10.705,0,5.92,3.82625e+08,93414.3,1530.5,0,0,4096,0,0
8.96,0,4.192,4.57143e+08,111607,1828.57,0,0,4096,0,0
9.632,0,4.832,4.25249e+08,103821,1701,0,0,4096,0,0
9.824,0,5.184,4.16938e+08,101792,1667.75,0,0,4096,0,0
8.816,0,4.064,4.6461e+08,113430,1858.44,0,0,4096,0,0
8.816,0,4.064,4.6461e+08,113430,1858.44,0,0,4096,0,0
17.76,0,6.208,2.30631e+08,56306.3,922.523,0,0,4096,0,0
18.768,0,4.64,2.18244e+08,53282.2,872.975,0,0,4096,0,0
17.952,0,4.832,2.28164e+08,55704.1,912.656,0.769231,0,4096,0,0
15.632,0,4.192,2.62027e+08,63971.3,1048.11,0.769231,0,4096,0,0
17.76,0,6.272,2.30631e+08,56306.3,922.523,0.769231,0,4096,0,0
18.032,0,4.352,2.27152e+08,55457,908.607,0.769231,0,4096,0,0
21.984,0,5.28,1.86317e+08,45487.6,745.269,0.769231,0,4096,0,0
19.888,0,4.48,2.05953e+08,50281.6,823.813,0.769231,0,4096,0,0
16.8,0,6.752,2.4381e+08,59523.8,975.238,0.769231,0,4096,0,0
15.952,0,4.352,2.5677e+08,62688.1,1027.08,0.769231,0,4096,0,0
