e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
86.496,60.224,15.392,3.78838e+08,11561.2,1515.35,1.82519,0,32768,0,63.921
238.369,180.192,31.488,1.37468e+08,4195.18,549.87,1.82519,0,32768,0,355.937
240.225,177.696,33.664,1.36405e+08,4162.76,545.622,1.82519,0,32768,0,478.866
220.385,179.008,23.2,1.48685e+08,4537.51,594.741,1.82519,0,32768,0,271.73
231.393,179.232,26.048,1.41612e+08,4321.65,566.448,1.82519,0,32768,0,284.225
450.61,408.896,23.872,7.27192e+07,2219.21,290.877,1.82519,0,32768,0,53.472
256.257,205.952,23.072,1.27872e+08,3902.33,511.487,1.82519,0,32768,0,647.859
340.689,299.904,24.32,9.61816e+07,2935.23,384.726,1.82519,0,32768,0,448.562
346.13,305.024,23.392,9.46696e+07,2889.09,378.679,1.82519,0,32768,0,329.729
358.018,317.28,23.424,9.15261e+07,2793.16,366.104,1.82519,0,32768,0,198.289
233.313,181.44,27.2,1.40447e+08,4286.09,561.786,1.82519,0,32768,0,277.713
228.337,178.688,23.872,1.43507e+08,4379.49,574.029,1.82519,0,32768,0,280.193
228.466,178.4,23.936,1.43426e+08,4377.02,573.705,1.82519,0,32768,0,285.297
339.729,299.072,22.912,9.64533e+07,2943.52,385.813,1.82519,0,32768,0,53.409
331.106,280.768,24.768,9.89653e+07,3020.18,395.861,2.41253,0,32768,0,295.137
325.057,285.312,22.4,1.00807e+08,3076.38,403.228,2.41253,0,32768,0,149.137
251.345,205.248,22.976,1.30371e+08,3978.6,521.482,2.41253,0,32768,0,248.497
228.465,195.2,18.432,1.43427e+08,4377.04,573.707,2.41253,0,32768,0,52.704
223.329,191.328,17.856,1.46725e+08,4477.7,586.901,2.41253,0,32768,0,165.649
220.001,188.416,17.472,1.48945e+08,4545.43,595.779,2.41253,0,32768,0,52.721
228.305,195.008,18.432,1.43527e+08,4380.11,574.109,2.41253,0,32768,0,168.177
225.041,194.144,16.48,1.45609e+08,4443.63,582.436,2.41253,0,32768,0,52.624
386.994,346.72,23.136,8.46731e+07,2584.02,338.693,2.41253,0,32768,0,78.945
345.985,298.144,23.36,9.47093e+07,2890.3,378.837,2.41253,0,32768,0,167.361
330.946,292.672,21.312,9.90131e+07,3021.64,396.053,2.41253,0,32768,0,70.592
350.77,306.688,21.952,9.34173e+07,2850.87,373.669,2.41253,0,32768,0,139.297
245.01,199.424,23.328,1.33741e+08,4081.47,534.966,2.41253,0,32768,0,348.769
107.504,74.848,17.824,3.04807e+08,9301.98,1219.23,2.41253,0,32768,0,127.537
342.722,294.272,24.064,9.5611e+07,2917.82,382.444,2.41253,0,32768,0,134.113
357.89,302.528,23.52,9.15589e+07,2794.15,366.235,2.41253,0,32768,0,133.36
512.674,463.68,24.416,6.39159e+07,1950.56,255.663,2.41253,0,32768,0,144.609
341.298,301.408,22.848,9.60099e+07,2929.99,384.04,2.41253,0,32768,0,192.673
262.017,214.048,23.232,1.25061e+08,3816.55,500.242,2.41253,0,32768,0,283.665
422.498,374.048,24.256,7.75578e+07,2366.88,310.231,2.41253,0,32768,0,243.953
126.608,80.352,23.936,2.58815e+08,7898.4,1035.26,2.41253,0,32768,0,330.562
239.473,203.008,17.312,1.36834e+08,4175.84,547.335,2.41253,0,32768,0,177.152
224.929,193.664,16.8,1.45682e+08,4445.85,582.726,1.93002,0,32768,0,189.473
512.227,471.168,24.256,6.39716e+07,1952.26,255.887,1.93002,0,32768,0,50.992
343.618,302.56,22.816,9.53617e+07,2910.21,381.447,1.93002,0,32768,0,106.944
345.122,295.52,24.768,9.49461e+07,2897.53,379.785,1.93002,0,32768,0,262.929
222.353,172.736,24.992,1.47369e+08,4497.35,589.477,1.93002,0,32768,0,278.561
223.441,174.176,25.248,1.46652e+08,4475.45,586.607,1.93002,0,32768,0,276.77
327.409,287.872,21.952,1.00083e+08,3054.28,400.331,1.93002,0,32768,0,174.273
68.976,23.456,22.976,4.75064e+08,14497.8,1900.26,1.93002,0,32768,0,436.114
541.667,508.928,17.888,6.04947e+07,1846.15,241.979,1.93002,0,32768,0,172.529
225.441,192.704,18.24,1.45351e+08,4435.75,581.403,1.93002,0,32768,0,245.873
225.057,192.768,17.632,1.45599e+08,4443.32,582.395,1.93002,0,32768,0,182.273
484.706,438.784,30.24,6.76039e+07,2063.11,270.415,1.93002,0,32768,0,194.049
208.337,169.248,24.544,1.57284e+08,4799.92,629.135,1.93002,0,32768,0,211.905
360.482,312.672,23.2,9.09005e+07,2774.06,363.602,1.93002,0,32768,0,319.889
320.578,284.128,22.816,1.02215e+08,3119.37,408.861,1.93002,0,32768,0,220.097
330.097,290.624,24.8,9.92678e+07,3029.41,397.071,1.93002,0,32768,0,74.448
331.826,284.192,23.552,9.87505e+07,3013.63,395.002,1.93002,0,32768,0,247.649
217.201,190.88,15.328,1.50865e+08,4604.03,603.459,1.93002,0,32768,0,111.265
280.305,243.552,23.776,1.16901e+08,3567.54,467.605,1.93002,0,32768,0,54.88
334.161,286.56,24.416,9.80605e+07,2992.57,392.242,1.93002,0,32768,0,145.233
332.865,285.024,24.128,9.84423e+07,3004.22,393.769,2.4964,0,32768,0,131.105
332.402,284.8,24.384,9.85794e+07,3008.41,394.318,2.4964,0,32768,0,134.624
110.081,84.192,15.552,2.97672e+08,9084.22,1190.69,2.4964,0,32768,0,47.104
326.321,286.048,21.44,1.00416e+08,3064.47,401.666,2.4964,0,32768,0,160.785
325.954,226.112,76.384,1.0053e+08,3067.92,402.118,2.4964,0,32768,0,137.793
232.177,186.144,32.224,1.41134e+08,4307.06,564.535,2.4964,0,32768,0,160.033
348.482,274.72,27.424,9.40307e+07,2869.59,376.123,2.4964,0,32768,0,250.529
346.194,294.016,26.144,9.46521e+07,2888.55,378.609,2.4964,0,32768,0,321.49
356.977,306.912,34.016,9.1793e+07,2801.3,367.172,2.4964,0,32768,0,212.897
345.842,223.616,27.424,9.47485e+07,2891.49,378.994,2.4964,0,32768,0,245.169
345.954,302.88,27.744,9.47178e+07,2890.56,378.871,2.4964,0,32768,0,163.585
342.113,291.52,25.408,9.57812e+07,2923.01,383.125,2.4964,0,32768,0,247.073
320.833,274.528,26.208,1.02134e+08,3116.89,408.537,2.4964,0,32768,0,127.425
127.456,79.584,25.152,2.57093e+08,7845.84,1028.37,2.4964,0,32768,0,257.954
349.25,297.632,25.76,9.38239e+07,2863.28,375.296,2.4964,0,32768,0,258.609
330.081,289.984,25.056,9.92726e+07,3029.56,397.09,2.4964,0,32768,0,148.257
294.513,242.72,25.92,1.11262e+08,3395.44,445.047,2.4964,0,32768,0,153.921
348.354,296.192,26.08,9.40652e+07,2870.64,376.261,2.4964,0,32768,0,133.344
346.721,289.088,26.048,9.45083e+07,2884.16,378.033,2.4964,0,32768,0,133.889
241.409,192.736,24.896,1.35736e+08,4142.35,542.946,2.4964,0,32768,0,255.89
192.593,167.456,14.272,1.70141e+08,5192.3,680.565,2.4964,0,32768,0,168.992
314.705,274.208,26.912,1.04123e+08,3177.58,416.492,2.99712,0,32768,0,150.417
350.482,299.04,25.792,9.34941e+07,2853.21,373.976,2.99712,0,32768,0,259.777
327.362,286.048,25.984,1.00097e+08,3054.72,400.389,2.99712,0,32768,0,150.304
257.713,208.384,25.44,1.27149e+08,3880.29,508.597,2.99712,0,32768,0,249.073
207.169,177.504,18.08,1.5817e+08,4826.98,632.682,2.99712,0,32768,0,145.425
348.737,296,26.368,9.39619e+07,2867.49,375.848,2.99712,0,32768,0,251.506
339.81,297.824,26.88,9.64304e+07,2942.82,385.721,2.99712,0,32768,0,151.792
327.889,286.688,26.208,9.99363e+07,3049.81,399.745,2.99712,0,32768,0,168.625
343.89,292.256,25.952,9.52863e+07,2907.91,381.145,2.99712,0,32768,0,239.665
365.986,308.704,26.944,8.95335e+07,2732.34,358.134,2.99712,0,32768,0,242.689
326.769,285.952,25.76,1.00279e+08,3060.27,401.115,2.99712,0,32768,0,160.129
339.618,287.488,26.144,9.64849e+07,2944.48,385.939,2.99712,0,32768,0,167.185
339.202,288.384,25.44,9.66032e+07,2948.1,386.413,2.99712,0,32768,0,182.08
103.393,74.976,17.056,3.16927e+08,9671.83,1267.71,2.99712,0,32768,0,69.2
347.106,294.784,26.016,9.44034e+07,2880.96,377.614,2.99712,0,32768,0,160.225
322.849,281.024,26.976,1.01496e+08,3097.42,405.985,2.99712,0,32768,0,57.168
340.45,287.104,27.232,9.62491e+07,2937.29,384.996,2.99712,0,32768,0,249.329
372.466,319.296,27.264,8.79758e+07,2684.81,351.903,2.99712,0,32768,0,233.281
230.737,177.632,27.808,1.42015e+08,4333.94,568.058,2.99712,0,32768,0,257.202
337.522,284.704,26.688,9.7084e+07,2962.77,388.336,2.99712,0,32768,0,241.041
350.05,296.768,27.392,9.36095e+07,2856.73,374.438,2.99712,0,32768,0,253.361
235.745,189.408,23.168,1.38998e+08,4241.87,555.991,2.3977,0,32768,0,244.146
208.913,182.304,15.904,1.5685e+08,4786.68,627.4,2.3977,0,32768,0,179.857
205.841,179.872,15.232,1.59191e+08,4858.12,636.763,2.3977,0,32768,0,197.809
208.417,182.688,15.424,1.57223e+08,4798.07,628.893,2.3977,0,32768,0,175.121
223.889,170.304,28.576,1.46358e+08,4466.5,585.433,2.3977,0,32768,0,171.953
334.625,292.032,22.432,9.79245e+07,2988.42,391.698,2.3977,0,32768,0,142.449
333.089,289.568,23.68,9.83761e+07,3002.2,393.504,2.3977,0,32768,0,135.457
332.498,289.856,22.176,9.8551e+07,3007.54,394.204,2.3977,0,32768,0,131.568
356.769,307.2,27.392,9.18465e+07,2802.93,367.386,2.3977,0,32768,0,139.729
353.442,298.72,27.232,9.27111e+07,2829.32,370.844,2.3977,0,32768,0,337.362
355.825,313.376,26.976,9.20902e+07,2810.37,368.361,2.3977,0,32768,0,227.489
366.53,313.536,27.808,8.94006e+07,2728.29,357.602,2.3977,0,32768,0,249.777
235.729,193.568,27.264,1.39007e+08,4242.16,556.028,2.3977,0,32768,0,159.937
241.249,202.976,20,1.35826e+08,4145.09,543.306,2.3977,0,32768,0,160.816
214.705,189.28,14.496,1.52619e+08,4657.55,610.475,2.3977,0,32768,0,61.312
381.313,326.08,28,8.59347e+07,2622.52,343.739,2.3977,0,32768,0,250.338
368.882,326.432,27.104,8.88306e+07,2710.89,355.322,2.3977,0,32768,0,172.432
355.233,312.544,27.168,9.22437e+07,2815.05,368.975,2.3977,0,32768,0,160.577
374.626,320.8,26.688,8.74686e+07,2669.33,349.874,2.3977,0,32768,0,236.913
366.146,312.096,26.848,8.94944e+07,2731.15,357.977,2.3977,0,32768,0,262.449
340.209,298.208,26.72,9.63173e+07,2939.37,385.269,2.91816,0,32768,0,173.025
220.161,193.376,14.88,1.48837e+08,4542.13,595.346,2.91816,0,32768,0,164.369
206.545,180.192,15.712,1.58648e+08,4841.56,634.593,2.91816,0,32768,0,150.832
358.386,303.488,27.328,9.14321e+07,2790.29,365.729,2.91816,0,32768,0,281.729
340.834,298.4,26.656,9.61406e+07,2933.98,384.563,2.91816,0,32768,0,183.169
372.322,316.672,27.616,8.80098e+07,2685.85,352.039,2.91816,0,32768,0,282.258
363.233,319.52,27.808,9.02121e+07,2753.05,360.848,2.91816,0,32768,0,194.801
219.537,193.152,14.624,1.4926e+08,4555.04,597.038,2.91816,0,32768,0,175.537
208.689,184,13.76,1.57018e+08,4791.82,628.073,2.91816,0,32768,0,152.48
357.282,302.08,27.072,9.17147e+07,2798.91,366.859,2.91816,0,32768,0,264.673
330.625,288.8,27.84,9.91093e+07,3024.57,396.437,2.91816,0,32768,0,161.937
353.266,298.336,26.88,9.27573e+07,2830.73,371.029,2.91816,0,32768,0,299.682
366.001,315.168,28.608,8.95298e+07,2732.23,358.119,2.91816,0,32768,0,198.161
218.465,191.488,15.136,1.49992e+08,4577.39,599.968,2.91816,0,32768,0,164.577
373.601,318.4,27.2,8.77085e+07,2676.65,350.834,2.91816,0,32768,0,267.442
222.993,195.104,16,1.46946e+08,4484.45,587.785,2.91816,0,32768,0,183.905
208.753,182.432,15.648,1.5697e+08,4790.35,627.881,2.91816,0,32768,0,148.977
328.77,286.24,27.296,9.96685e+07,3041.64,398.674,2.91816,0,32768,0,161.857
354.786,300.96,27.072,9.23599e+07,2818.6,369.44,2.91816,0,32768,0,159.328
279.185,238.112,26.592,1.1737e+08,3581.85,469.481,2.91816,0,32768,0,57.536
250.786,196.8,27.68,1.30661e+08,3987.46,522.645,2.91816,0,32768,0,274.977
344.225,290.528,26.656,9.51936e+07,2905.08,380.774,3.28691,0,32768,0,262.177
219.857,191.776,16.256,1.49042e+08,4548.41,596.169,3.28691,0,32768,0,147.233
248.257,196.128,26.976,1.31992e+08,4028.08,527.969,3.28691,0,32768,0,288.754
204.257,178.72,14.656,1.60425e+08,4895.79,641.701,3.28691,0,32768,0,78.769
342.45,288.192,26.784,9.5687e+07,2920.13,382.748,3.28691,0,32768,0,261.249
331.617,286.4,28.064,9.88128e+07,3015.53,395.251,3.28691,0,32768,0,145.985
322.898,260.928,27.488,1.01481e+08,3096.95,405.924,3.28691,0,32768,0,145.457
229.889,177.504,27.232,1.42538e+08,4349.93,570.153,3.28691,0,32768,0,254.273
340.85,287.648,26.624,9.61361e+07,2933.84,384.545,3.28691,0,32768,0,246.177
220.689,194.272,14.688,1.4848e+08,4531.26,593.922,3.28691,0,32768,0,233.713
337.922,294.72,28.16,9.69691e+07,2959.26,387.876,3.28691,0,32768,0,155.952
375.762,321.696,27.168,8.72041e+07,2661.26,348.817,3.28691,0,32768,0,269.137
337.682,293.728,27.392,9.7038e+07,2961.37,388.152,3.28691,0,32768,0,192.001
349.393,295.776,26.592,9.37855e+07,2862.11,375.142,3.28691,0,32768,0,262.337
331.169,288.864,27.264,9.89465e+07,3019.61,395.786,3.28691,0,32768,0,154.705
103.456,76.928,14.848,3.16734e+08,9665.94,1266.93,3.28691,0,32768,0,166.385
88.929,62.88,13.888,3.68474e+08,11244.9,1473.89,3.28691,0,32768,0,164.337
206.592,182.272,13.888,1.58612e+08,4840.46,634.449,3.28691,0,32768,0,161.473
324.209,281.344,28.032,1.01071e+08,3084.43,404.282,3.28691,0,32768,0,173.537
352.177,298.048,26.912,9.30441e+07,2839.48,372.176,3.28691,0,32768,0,249.794
341.458,297.792,27.552,9.5965e+07,2928.62,383.86,3.28691,0,32768,0,149.056
347.554,293.536,26.848,9.42818e+07,2877.25,377.127,3.62952,0,32768,0,249.057
333.378,291.136,27.488,9.82908e+07,2999.6,393.163,3.62952,0,32768,0,155.713
233.393,179.968,27.904,1.40398e+08,4284.62,561.594,3.62952,0,32768,0,254.737
227.713,174.144,27.776,1.439e+08,4391.49,575.602,3.62952,0,32768,0,237.089
226.625,173.376,27.424,1.44591e+08,4412.58,578.365,3.62952,0,32768,0,251.505
97.633,69.824,16.032,3.35624e+08,10242.4,1342.5,3.62952,0,32768,0,165.105
353.506,298.816,27.68,9.26943e+07,2828.81,370.777,3.62952,0,32768,0,251.089
353.058,298.816,27.104,9.28119e+07,2832.4,371.248,3.62952,0,32768,0,260.433
336.498,293.312,27.808,9.73795e+07,2971.79,389.518,3.62952,0,32768,0,157.617
349.49,294.208,28.736,9.37595e+07,2861.31,375.038,3.62952,0,32768,0,248.817
343.234,291.488,27.2,9.54684e+07,2913.46,381.874,3.62952,0,32768,0,277.809
213.585,171.936,27.808,1.53419e+08,4681.98,613.676,3.62952,0,32768,0,166.337
349.377,295.296,27.072,9.37898e+07,2862.24,375.159,3.62952,0,32768,0,264.129
217.441,190.24,15.136,1.50698e+08,4598.95,602.793,3.62952,0,32768,0,157.201
355.506,297.824,28.96,9.21728e+07,2812.89,368.691,3.62952,0,32768,0,246.289
340.274,287.808,27.168,9.62989e+07,2938.81,385.195,3.62952,0,32768,0,164.241
368.242,316.32,26.56,8.8985e+07,2715.61,355.94,3.62952,0,32768,0,254.769
