e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
29.696,12.032,10.592,5.51724e+08,33674.6,2206.9,1.0229,0,16384,0
29.52,12.896,9.312,5.55014e+08,33875.3,2220.05,1.0229,0,16384,0
27.76,11.008,9.664,5.90202e+08,36023.1,2360.81,1.0229,0,16384,0
28.048,12.096,9.024,5.84141e+08,35653.2,2336.57,1.0229,0,16384,0
27.136,11.136,8.928,6.03774e+08,36851.4,2415.09,1.0229,0,16384,0
29.136,10.912,9.216,5.62328e+08,34321.8,2249.31,1.0229,0,16384,0
27.088,11.392,8.832,6.04843e+08,36916.7,2419.37,1.0229,0,16384,0
29.232,13.28,8.928,5.60482e+08,34209.1,2241.93,1.0229,0,16384,0
31.36,14.656,9.76,5.22449e+08,31887.8,2089.8,1.0229,0,16384,0
27.184,11.04,9.024,6.02707e+08,36786.3,2410.83,1.0229,0,16384,0
27.232,10.592,9.792,6.01645e+08,36721.5,2406.58,1.0229,0,16384,0
31.008,13.536,8.768,5.2838e+08,32249.7,2113.52,1.0229,0,16384,0
27.616,11.168,9.44,5.93279e+08,36210.9,2373.12,1.0229,0,16384,0
30.176,13.664,9.536,5.42948e+08,33138.9,2171.79,1.0229,0,16384,0
27.344,11.232,9.056,5.99181e+08,36571.1,2396.72,1.0229,0,16384,0
31.184,11.104,9.536,5.25398e+08,32067.7,2101.59,1.0229,0,16384,0
27.264,11.488,8.704,6.00939e+08,36678.4,2403.76,1.0229,0,16384,0
29.249,12.576,9.728,5.60156e+08,34189.2,2240.62,1.0229,0,16384,0
27.312,10.656,8.864,5.99883e+08,36613.9,2399.53,1.0229,0,16384,0
27.248,11.072,9.088,6.01292e+08,36699.9,2405.17,1.0229,0,16384,0
28.384,12.032,9.216,5.77227e+08,35231.1,2308.91,1.0229,0,16384,0
30.144,13.952,9.152,5.43524e+08,33174.1,2174.1,1.0229,0,16384,0
27.136,10.944,8.992,6.03774e+08,36851.4,2415.09,1.0229,0,16384,0
31.184,10.688,13.376,5.25398e+08,32067.7,2101.59,1.0229,0,16384,0
26.992,10.752,9.248,6.06995e+08,37048,2427.98,1.0229,0,16384,0
29.264,11.104,9.536,5.59869e+08,34171.7,2239.48,1.0229,0,16384,0
26.976,10.912,9.056,6.07355e+08,37070,2429.42,1.0229,0,16384,0
29.216,11.712,9.024,5.60789e+08,34227.8,2243.15,1.0229,0,16384,0
29.616,13.632,8.864,5.53214e+08,33765.5,2212.86,1.0229,0,16384,0
28.256,11.904,8.8,5.79841e+08,35390.7,2319.37,1.0229,0,16384,0
27.712,10.688,9.376,5.91224e+08,36085.5,2364.9,1.0229,0,16384,0
28.656,12.48,9.12,5.71748e+08,34896.7,2286.99,1.0229,0,16384,0
29.344,12.992,9.184,5.58342e+08,34078.5,2233.37,1.0229,0,16384,0
27.264,10.848,9.216,6.00939e+08,36678.4,2403.76,1.0229,0,16384,0
30.4,11.552,9.184,5.38947e+08,32894.7,2155.79,1.0229,0,16384,0
29.024,10.976,9.152,5.64498e+08,34454.2,2257.99,1.0229,0,16384,0
27.313,10.848,9.504,5.99861e+08,36612.6,2399.44,1.0229,0,16384,0
30.272,14.656,8.736,5.41226e+08,33033.8,2164.9,1.0229,0,16384,0
27.936,11.488,9.344,5.86483e+08,35796.1,2345.93,1.0229,0,16384,0
28.592,11.52,9.76,5.73027e+08,34974.8,2292.11,1.0229,0,16384,0
28.928,12.512,9.568,5.66372e+08,34568.6,2265.49,1.0229,0,16384,0
27.344,10.88,9.504,5.99181e+08,36571.1,2396.72,1.0229,0,16384,0
29.152,10.944,9.632,5.6202e+08,34303,2248.08,1.0229,0,16384,0
28.336,10.56,9.728,5.78204e+08,35290.8,2312.82,1.0229,0,16384,0
27.072,10.784,9.248,6.05201e+08,36938.5,2420.8,1.0229,0,16384,0
29.312,12.8,9.6,5.58952e+08,34115.7,2235.81,1.0229,0,16384,0
26.24,10.528,8.608,6.2439e+08,38109.8,2497.56,1.0229,0,16384,0
28.192,11.744,9.408,5.81158e+08,35471.1,2324.63,1.0229,0,16384,0
30.512,13.824,9.536,5.36969e+08,32774,2147.88,1.0229,0,16384,0
32.224,10.88,14.4,5.08441e+08,31032.8,2033.76,1.0229,0,16384,0
30.288,13.76,9.376,5.4094e+08,33016.4,2163.76,1.0229,0,16384,0
27.232,10.816,8.736,6.01645e+08,36721.5,2406.58,1.0229,0,16384,0
27.376,10.752,9.504,5.9848e+08,36528.3,2393.92,1.0229,0,16384,0
29.248,12.832,9.408,5.60175e+08,34190.4,2240.7,1.0229,0,16384,0
27.216,10.88,9.408,6.01999e+08,36743.1,2408,1.0229,0,16384,0
30.192,10.496,12.64,5.4266e+08,33121.4,2170.64,1.0229,0,16384,0
29.312,11.008,9.28,5.58952e+08,34115.7,2235.81,1.0229,0,16384,0
27.089,10.592,9.536,6.04821e+08,36915.4,2419.28,1.0229,0,16384,0
28.512,12.768,8.768,5.74635e+08,35073,2298.54,1.0229,0,16384,0
27.216,10.592,9.472,6.01999e+08,36743.1,2408,1.0229,0,16384,0
26.464,10.528,9.088,6.19105e+08,37787.2,2476.42,1.0229,0,16384,0
28.432,12.064,9.312,5.76252e+08,35171.6,2305.01,1.0229,0,16384,0
26.944,11.136,8.704,6.08076e+08,37114,2432.3,1.0229,0,16384,0
28.192,10.72,9.056,5.81158e+08,35471.1,2324.63,1.0229,0,16384,0
29.36,10.848,9.664,5.58038e+08,34059.9,2232.15,1.0229,0,16384,0
27.392,10.816,9.504,5.98131e+08,36507,2392.52,1.0229,0,16384,0
29.28,13.376,8.832,5.59563e+08,34153,2238.25,1.0229,0,16384,0
27.2,11.2,8.864,6.02353e+08,36764.7,2409.41,1.0229,0,16384,0
30.416,11.456,9.376,5.38664e+08,32877.4,2154.66,1.0229,0,16384,0
29.504,10.752,9.472,5.55315e+08,33893.7,2221.26,1.0229,0,16384,0
27.056,10.592,9.408,6.05559e+08,36960.4,2422.24,1.0229,0,16384,0
29.264,12.896,9.408,5.59869e+08,34171.7,2239.48,1.0229,0,16384,0
27.328,10.88,9.408,5.99532e+08,36592.5,2398.13,1.0229,0,16384,0
27.232,11.104,9.248,6.01645e+08,36721.5,2406.58,1.0229,0,16384,0
31.648,15.36,9.312,5.17695e+08,31597.6,2070.78,1.0229,0,16384,0
27.392,11.072,9.056,5.98131e+08,36507,2392.52,1.0229,0,16384,0
30.624,10.688,9.568,5.35005e+08,32654.1,2140.02,1.0229,0,16384,0
28.976,10.944,9.184,5.65433e+08,34511.3,2261.73,1.0229,0,16384,0
27.393,10.752,9.728,5.98109e+08,36505.7,2392.44,1.0229,0,16384,0
27.264,11.2,8.96,6.00939e+08,36678.4,2403.76,1.0229,0,16384,0
28.368,12.544,8.896,5.77552e+08,35251,2310.21,1.0229,0,16384,0
27.232,10.752,9.536,6.01645e+08,36721.5,2406.58,1.0229,0,16384,0
28.352,11.712,9.6,5.77878e+08,35270.9,2311.51,1.0229,0,16384,0
27.136,10.816,9.376,6.03774e+08,36851.4,2415.09,1.0229,0,16384,0
28.56,12.384,9.28,5.73669e+08,35014,2294.68,1.0229,0,16384,0
27.184,11.04,9.12,6.02707e+08,36786.3,2410.83,1.0229,0,16384,0
27.472,10.848,9.536,5.96389e+08,36400.7,2385.56,1.0229,0,16384,0
28.176,12.384,8.8,5.81488e+08,35491.2,2325.95,1.0229,0,16384,0
27.264,11.008,9.312,6.00939e+08,36678.4,2403.76,1.0229,0,16384,0
26.208,10.528,8.736,6.25153e+08,38156.3,2500.61,1.0229,0,16384,0
30.336,14.4,8.992,5.40084e+08,32964.1,2160.34,1.0229,0,16384,0
30.304,10.528,9.12,5.40655e+08,32998.9,2162.62,1.0229,0,16384,0
28.352,11.776,9.664,5.77878e+08,35270.9,2311.51,1.0229,0,16384,0
30.384,12.352,10.912,5.39231e+08,32912.1,2156.92,1.0229,0,16384,0
28.112,11.552,9.6,5.82812e+08,35572,2331.25,1.0229,0,16384,0
27.248,11.04,9.184,6.01292e+08,36699.9,2405.17,1.0229,0,16384,0
27.088,10.56,9.504,6.04843e+08,36916.7,2419.37,1.0229,0,16384,0
28.224,12.16,9.056,5.80499e+08,35430.8,2322,1.0229,0,16384,0
30.464,10.88,11.616,5.37815e+08,32825.6,2151.26,1.0229,0,16384,0
27.104,10.624,9.568,6.04486e+08,36894.9,2417.95,1.0229,0,16384,0
27.072,10.752,9.44,6.05201e+08,36938.5,2420.8,1.0229,0,16384,0
28.336,10.624,9.216,5.78204e+08,35290.8,2312.82,1.0229,0,16384,0
27.376,10.848,9.632,5.9848e+08,36528.3,2393.92,1.0229,0,16384,0
28.336,12.32,9.088,5.78204e+08,35290.8,2312.82,1.0229,0,16384,0
29.488,13.28,9.28,5.55616e+08,33912.1,2222.46,1.0229,0,16384,0
27.296,11.04,9.216,6.00234e+08,36635.4,2400.94,1.0229,0,16384,0
30.528,10.72,9.344,5.36688e+08,32756.8,2146.75,1.0229,0,16384,0
29.68,10.592,9.6,5.52022e+08,33692.7,2208.09,1.0229,0,16384,0
27.92,11.424,9.632,5.86819e+08,35816.6,2347.28,1.0229,0,16384,0
28.352,11.872,9.408,5.77878e+08,35270.9,2311.51,1.0229,0,16384,0
29.184,12.768,9.376,5.61404e+08,34265.4,2245.61,1.0229,0,16384,0
27.296,10.816,8.576,6.00234e+08,36635.4,2400.94,1.0229,0,16384,0
28.384,12.576,8.768,5.77227e+08,35231.1,2308.91,1.0229,0,16384,0
27.072,10.848,9.376,6.05201e+08,36938.5,2420.8,1.0229,0,16384,0
26.528,10.784,8.704,6.17612e+08,37696,2470.45,1.0229,0,16384,0
28.208,11.936,9.408,5.80828e+08,35450.9,2323.31,1.0229,0,16384,0
27.184,10.976,8.896,6.02707e+08,36786.3,2410.83,1.0229,0,16384,0
28.064,12.512,8.768,5.83808e+08,35632.8,2335.23,1.0229,0,16384,0
27.488,10.912,9.472,5.96042e+08,36379.5,2384.17,1.0229,0,16384,0
28.288,11.616,9.632,5.79186e+08,35350.7,2316.74,1.0229,0,16384,0
31.28,11.232,13.152,5.23785e+08,31969.3,2095.14,1.0229,0,16384,0
27.184,10.944,9.248,6.02707e+08,36786.3,2410.83,1.0229,0,16384,0
28.752,11.904,9.728,5.69839e+08,34780.2,2279.35,1.0229,0,16384,0
27.232,10.592,9.664,6.01645e+08,36721.5,2406.58,1.0229,0,16384,0
27.84,11.936,8.832,5.88506e+08,35919.5,2354.02,1.0229,0,16384,0
29.216,10.816,9.312,5.60789e+08,34227.8,2243.15,1.0229,0,16384,0
28.72,11.68,7.968,5.70474e+08,34818.9,2281.89,1.0229,0,16384,0
