arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha
stream-nv,1048576,4194304,16,1,NA,NA,467.55,334.03,91.952,70.816,795.666,14.00,8.00,5027,999,999,0,2528,OK,b8cdbe2
stream-nv,1048576,4194304,16,2,NA,NA,471.66,338.05,97.840,76.576,809.377,15.02,7.87,4942,999,999,0,2528,OK,b8cdbe2
stream-nv,1048576,4194304,16,3,NA,NA,473.22,328.44,89.680,73.184,803.682,11.98,5.90,4977,999,999,0,2522,OK,b8cdbe2
