arm,size,rep,pos,fill_p50,transport_p05,transport_p50,transport_p95,e2e_p50,fft_p50,n,sm_mhz,pace_us,gitsha
opt,65536,4,1,7.36,107.697,131.969,159.889,23.120,17.504,980,2548,500,b3d5807+ts
extbuf,65536,4,2,0.06,155.329,300.803,732.645,49.120,29.888,1000,2541,500,b3d5807+ts
daq,65536,4,3,5.856,792.855,4199.940,8871.030,18.320,13.536,1000,2431,500,b3d5807+ts
opt,262144,4,1,26.896,479.732,511.156,546.740,33.552,27.520,996,2483,1344,b3d5807+ts
extbuf,262144,4,2,0.03,408.595,997.496,4676.757,49.537,33.696,1000,2502,1344,b3d5807+ts
daq,262144,4,3,26.192,812.838,4406.150,9309.800,25.009,20.288,1000,2437,1344,b3d5807+ts
opt,1048576,4,1,207.058,2175.010,2281.190,2834.290,74.449,67.072,1000,2424,5377,b3d5807+ts
extbuf,1048576,4,2,0.59,1096.840,1857.614,6061.519,102.241,79.488,1000,2431,5377,b3d5807+ts
daq,1048576,4,3,102.945,846.502,4943.610,12128.800,66.017,61.056,1000,2424,5377,b3d5807+ts
extbuf,4096,5,1,0.03,121.777,336.243,793.798,41.633,21.440,1000,2528,500,b3d5807+ts
daq,4096,5,2,0.448,602.117,4168.770,9143.320,9.793,4.832,1000,2424,500,b3d5807+ts
opt,4096,5,3,0.704,6.176,25.681,58.945,12.528,7.104,978,2548,500,b3d5807+ts
extbuf,16384,5,1,0.03,115.056,211.538,443.539,34.448,20.064,1000,2548,500,b3d5807+ts
daq,16384,5,2,1.728,701.814,4146.690,9426.220,13.760,8.832,1000,2424,500,b3d5807+ts
opt,16384,5,3,2.32,15.488,34.464,64.832,16.960,11.392,978,2548,500,b3d5807+ts
extbuf,65536,5,1,0.05,192.322,456.772,811.302,41.441,26.752,1000,2535,500,b3d5807+ts
daq,65536,5,2,5.664,809.910,4129.440,9408.730,18.352,13.632,1000,2431,500,b3d5807+ts
opt,65536,5,3,7.12,106.897,128.977,158.273,23.232,17.632,984,2548,500,b3d5807+ts
extbuf,262144,5,1,0.06,238.033,356.579,4069.679,55.040,36.512,1000,2509,1344,b3d5807+ts
daq,262144,5,2,25.761,887.735,4361.090,9358.950,25.024,20.224,1000,2437,1344,b3d5807+ts
opt,262144,5,3,23.089,458.963,487.620,524.836,32.880,26.944,997,2483,1344,b3d5807+ts
extbuf,1048576,5,1,0.96,1122.792,1922.574,6086.525,99.921,74.848,1000,2431,5377,b3d5807+ts
daq,1048576,5,2,103.985,800.453,4996.500,12161.600,65.296,60.384,1000,2424,5377,b3d5807+ts
opt,1048576,5,3,204.802,2178.740,2277.980,2792.920,79.296,72.064,1000,2424,5377,b3d5807+ts
daq,4096,6,1,0.464,586.948,3987.050,9036.510,9.808,4.928,1000,2424,500,b3d5807+ts
opt,4096,6,2,0.704,6.048,24.625,58.145,12.000,6.464,979,2548,500,b3d5807+ts
extbuf,4096,6,3,0.03,102.048,257.345,519.587,39.057,20.384,1000,2548,500,b3d5807+ts
daq,16384,6,1,1.760,653.812,4022.560,8281.550,13.792,8.864,1000,2424,500,b3d5807+ts
opt,16384,6,2,2.256,15.920,34.928,67.376,17.024,11.488,980,2548,500,b3d5807+ts
extbuf,16384,6,3,0.03,120.129,227.234,465.300,31.712,18.528,1000,2548,500,b3d5807+ts
daq,65536,6,1,6.000,786.854,4004.330,7850.120,18.256,13.632,1000,2431,500,b3d5807+ts
opt,65536,6,2,7.232,109.088,132.337,159.809,23.072,17.536,983,2548,500,b3d5807+ts
extbuf,65536,6,3,0.03,240.370,362.306,758.918,43.905,27.456,1000,2548,500,b3d5807+ts
daq,262144,6,1,25.840,858.134,4429.650,9563.830,24.976,20.288,1000,2437,1344,b3d5807+ts
opt,262144,6,2,23.136,467.348,494.803,534.660,32.960,27.136,997,2483,1344,b3d5807+ts
extbuf,262144,6,3,0.03,414.419,804.966,4641.632,52.561,33.984,1000,2502,1344,b3d5807+ts
daq,1048576,6,1,104.017,863.430,4987.070,12438.500,65.072,60.096,1000,2424,5377,b3d5807+ts
opt,1048576,6,2,210.738,2186.670,2278.720,2447.150,74.096,66.976,1000,2424,5377,b3d5807+ts
extbuf,1048576,6,3,0.70,1160.264,2140.463,6435.644,128.705,93.376,1000,2431,5377,b3d5807+ts
