e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
155.408,132.864,13.344,2.10851e+08,6434.68,843.406,2.44327,0,32768,0
41.84,17.344,15.168,7.83174e+08,23900.6,3132.7,2.44327,0,32768,0
105.536,82.72,14.368,3.10491e+08,9475.44,1241.96,2.44327,0,32768,0
299.297,258.528,28.416,1.09483e+08,3341.16,437.933,2.44327,0,32768,0
47.984,23.456,14.72,6.82894e+08,20840.3,2731.58,2.44327,0,32768,0
99.36,75.744,14.112,3.29791e+08,10064.4,1319.16,2.44327,0,32768,0
158.784,136.48,14.72,2.06368e+08,6297.86,825.474,2.44327,0,32768,0
302.433,262.464,29.056,1.08348e+08,3306.52,433.392,2.44327,0,32768,0
46.32,21.792,14.144,7.07427e+08,21588.9,2829.71,2.44327,0,32768,0
255.248,214.912,28.672,1.28377e+08,3917.76,513.508,2.44327,0,32768,0
46.737,21.632,15.584,7.01115e+08,21396.3,2804.46,2.44327,0,32768,0
238.128,199.168,27.36,1.37607e+08,4199.42,550.427,2.44327,0,32768,0
46.528,21.12,15.648,7.04264e+08,21492.4,2817.06,2.44327,0,32768,0
101.584,77.792,14.24,3.2257e+08,9844.07,1290.28,2.44327,0,32768,0
145.344,122.4,14.4,2.25451e+08,6880.23,901.805,2.44327,0,32768,0
155.889,131.584,14.976,2.10201e+08,6414.82,840.803,2.44327,0,32768,0
62.624,40.16,14.784,5.2325e+08,15968.3,2093,2.44327,0,32768,0
152.384,128.064,15.776,2.15036e+08,6562.37,860.143,2.44327,0,32768,0
152.944,130.72,14.688,2.14248e+08,6538.34,856.993,2.44327,0,32768,0
156.4,132,16.032,2.09514e+08,6393.86,838.056,2.44327,0,32768,0
147.649,123.52,15.84,2.21932e+08,6772.82,887.727,2.44327,0,32768,0
155.216,133.664,14.112,2.11112e+08,6442.63,844.449,2.44327,0,32768,0
160.144,135.616,15.968,2.04616e+08,6244.38,818.463,2.44327,0,32768,0
56.704,34.272,14.112,5.77878e+08,17635.4,2311.51,2.44327,0,32768,0
58.592,34.528,15.68,5.59257e+08,17067.2,2237.03,2.44327,0,32768,0
170.401,146.112,14.784,1.92299e+08,5868.51,769.197,2.44327,0,32768,0
156.944,131.712,16.32,2.08788e+08,6371.7,835.151,2.44327,0,32768,0
153.888,130.848,14.432,2.12934e+08,6498.23,851.736,2.44327,0,32768,0
151.072,128.224,14.624,2.16903e+08,6619.36,867.613,2.44327,0,32768,0
156.945,133.184,15.552,2.08787e+08,6371.66,835.146,2.44327,0,32768,0
302.56,260.64,31.904,1.08302e+08,3305.13,433.21,2.44327,0,32768,0
49.536,23.712,17.28,6.61499e+08,20187.3,2645.99,2.44327,0,32768,0
240.753,198.848,30.144,1.36106e+08,4153.63,544.425,2.44327,0,32768,0
46.192,22.432,14.528,7.09387e+08,21648.8,2837.55,2.44327,0,32768,0
258.512,217.472,29.056,1.26756e+08,3868.29,507.025,2.44327,0,32768,0
46.928,21.984,15.456,6.98261e+08,21309.2,2793.04,2.44327,0,32768,0
244.033,204.704,27.328,1.34277e+08,4097.81,537.108,2.44327,0,32768,0
53.616,21.824,15.2,6.11161e+08,18651.1,2444.64,2.44327,0,32768,0
236.672,196.928,27.584,1.38453e+08,4225.26,553.813,2.44327,0,32768,0
48.448,24.384,15.328,6.76354e+08,20640.7,2705.42,2.44327,0,32768,0
99.953,76,14.496,3.27834e+08,10004.7,1311.34,2.44327,0,32768,0
152.672,130.944,14.112,2.1463e+08,6549.99,858.52,2.44327,0,32768,0
151.696,129.504,14.56,2.16011e+08,6592.13,864.044,2.44327,0,32768,0
33.088,9.504,14.496,9.90329e+08,30222.4,3961.32,2.44327,0,32768,0
193.696,125.664,15.648,1.69172e+08,5162.73,676.689,2.44327,0,32768,0
143.473,120.608,14.208,2.28391e+08,6969.95,913.566,2.44327,0,32768,0
164.24,130.208,21.056,1.99513e+08,6088.65,798.052,2.44327,0,32768,0
151.568,128.736,14.432,2.16193e+08,6597.7,864.774,2.44327,0,32768,0
145.84,121.344,15.904,2.24685e+08,6856.83,898.738,2.44327,0,32768,0
168.369,144.768,13.824,1.9462e+08,5939.34,778.481,2.44327,0,32768,0
59.904,36.32,15.52,5.47009e+08,16693.4,2188.03,2.44327,0,32768,0
153.792,130.976,13.824,2.13067e+08,6502.29,852.268,2.44327,0,32768,0
153.92,130.048,15.872,2.1289e+08,6496.88,851.559,2.44327,0,32768,0
154.096,130.624,15.264,2.12647e+08,6489.46,850.587,2.44327,0,32768,0
154.353,130.88,15.424,2.12293e+08,6478.66,849.17,2.44327,0,32768,0
161.12,137.44,16.128,2.03376e+08,6206.55,813.505,2.44327,0,32768,0
158.176,135.264,15.712,2.07162e+08,6322.07,828.647,2.44327,0,32768,0
308.257,264.416,31.776,1.06301e+08,3244.05,425.204,2.44327,0,32768,0
47.888,24,14.368,6.84263e+08,20882.1,2737.05,2.44327,0,32768,0
249.088,207.488,30.048,1.31552e+08,4014.65,526.208,2.44327,0,32768,0
48.544,23.392,15.52,6.75016e+08,20599.9,2700.07,2.44327,0,32768,0
97.937,74.816,13.92,3.34582e+08,10210.6,1338.33,2.44327,0,32768,0
292.48,249.44,31.936,1.12035e+08,3419.04,448.14,4.81176,0,32768,0
44.96,21.6,13.856,7.28826e+08,22242,2915.3,4.81176,0,32768,0
252.529,210.592,30.176,1.29759e+08,3959.94,519.037,4.81176,0,32768,0
46.272,22.24,14.496,7.0816e+08,21611.3,2832.64,4.81176,0,32768,0
100.192,77.056,14.688,3.27052e+08,9980.84,1308.21,4.81176,0,32768,0
155.312,131.296,15.712,2.10982e+08,6438.65,843.927,4.81176,0,32768,0
157.792,136.192,14.144,2.07666e+08,6337.46,830.663,4.81176,0,32768,0
304.737,263.552,29.504,1.07529e+08,3281.52,430.115,4.81176,0,32768,0
46.736,22.528,14.592,7.0113e+08,21396.8,2804.52,4.81176,0,32768,0
279.36,238.432,29.088,1.17297e+08,3579.61,469.187,4.81176,0,32768,0
47.584,22.592,15.584,6.88635e+08,21015.5,2754.54,4.81176,0,32768,0
239.121,198.272,29.152,1.37035e+08,4181.98,548.141,4.81176,0,32768,0
53.088,27.84,15.84,6.17239e+08,18836.6,2468.96,4.81176,0,32768,0
231.888,190.912,29.216,1.4131e+08,4312.43,565.238,4.81176,0,32768,0
47.424,22.784,14.976,6.90958e+08,21086.4,2763.83,4.81176,0,32768,0
237.953,197.504,28.8,1.37708e+08,4202.51,550.831,4.81176,0,32768,0
46.576,21.92,15.04,7.03538e+08,21470.3,2814.15,4.81176,0,32768,0
242.896,201.28,29.568,1.34905e+08,4116.99,539.622,4.81176,0,32768,0
48.272,23.264,15.328,6.7882e+08,20715.9,2715.28,4.81176,0,32768,0
96.673,66.272,14.624,3.38957e+08,10344.1,1355.83,4.81176,0,32768,0
153.424,131.392,13.856,2.13578e+08,6517.89,854.312,4.81176,0,32768,0
155.008,130.496,16.032,2.11396e+08,6451.28,845.582,4.81176,0,32768,0
296.657,257.76,28.064,1.10458e+08,3370.9,441.83,4.81176,0,32768,0
46.496,22.048,14.912,7.04749e+08,21507.2,2819,4.81176,0,32768,0
224.656,184.192,29.056,1.45859e+08,4451.25,583.434,4.81176,0,32768,0
48.72,23.584,15.488,6.72578e+08,20525.5,2690.31,4.81176,0,32768,0
256.288,215.424,29.344,1.27856e+08,3901.86,511.425,4.81176,0,32768,0
46.4,21.792,15.136,7.06207e+08,21551.7,2824.83,4.81176,0,32768,0
219.744,178.4,29.632,1.49119e+08,4550.75,596.476,4.81176,0,32768,0
46.944,22.624,14.752,6.98023e+08,21302,2792.09,4.81176,0,32768,0
228.736,182.048,28.896,1.43257e+08,4371.85,573.027,4.81176,0,32768,0
46.001,21.984,14.528,7.12332e+08,21738.7,2849.33,4.81176,0,32768,0
230.032,188.896,29.28,1.4245e+08,4347.22,569.799,4.81176,0,32768,0
46.032,21.312,15.296,7.11853e+08,21724,2847.41,4.81176,0,32768,0
102.016,77.536,16.128,3.21205e+08,9802.38,1284.82,4.81176,0,32768,0
164.112,142.176,13.952,1.99669e+08,6093.4,798.674,4.81176,0,32768,0
154.817,131.168,15.616,2.11656e+08,6459.24,846.625,4.81176,0,32768,0
170.272,138.976,22.272,1.92445e+08,5872.96,769.78,4.81176,0,32768,0
