Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.7,3112736,348,8944.6,8864.0,8800,14112,468.6,"void vector_fft<(unsigned int)16384, EPT<(unsigned int)32>, (unsigned int)1, (unsigned int)0, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float, HostConfigPlaceholder>(kernel_arguments_t<T9>)"
9.3,318304,348,914.7,928.0,768,1984,80.7,"void postprocess_kernel<float, unsigned int, (loadstore_modifier_t)2>(real_complex_args_t<T2>)"
