Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.5,292681984,4,73170496.0,231352.0,2224,292217056,146031198.8,cudaMalloc
3.1,10064240,347,29003.6,13408.0,11440,3267776,175318.2,cudaMemcpy
1.5,4780224,12,398352.0,278992.0,120320,966064,292967.1,cuModuleLoadData
1.4,4388112,695,6313.8,6896.0,1712,15456,4305.5,cudaEventSynchronize
0.8,2625168,5,525033.6,7760.0,3440,2598880,1159320.3,cuMemcpyHtoD_v2
0.7,2364496,1390,1701.1,1712.0,1392,24080,666.2,cudaEventRecord
0.5,1731328,696,2487.5,2464.0,2032,26736,1167.8,cuLaunchKernel
0.2,483936,12,40328.0,5784.0,3056,217952,80584.3,cuModuleUnload
0.1,403152,3,134384.0,74336.0,70528,258288,107320.9,cuMemFree_v2
0.1,289952,3,96650.7,10800.0,2816,276336,155663.3,cuMemAlloc_v2
0.0,42800,2,21400.0,21400.0,19504,23296,2681.3,cuMemGetInfo_v2
0.0,17024,4,4256.0,4208.0,1856,6752,2598.2,cudaFree
0.0,9760,6,1626.7,640.0,256,5552,2074.5,cudaEventCreate
0.0,3808,6,634.7,384.0,224,1568,529.1,cudaEventDestroy
0.0,3792,1,3792.0,3792.0,3792,3792,0.0,cuModuleGetLoadingMode
0.0,2512,1,2512.0,2512.0,2512,2512,0.0,cuInit
0.0,752,2,376.0,376.0,256,496,169.7,cuCtxSetCurrent
