Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.3,288892880,4,72223220.0,352248.0,1792,288186592,143975958.1,cudaMalloc
1.8,5596128,349,16034.8,14288.0,6208,140864,16191.0,cudaMemcpy
1.3,3914032,699,5599.5,5168.0,448,12768,2503.4,cudaEventSynchronize
0.7,2291392,1398,1639.1,1632.0,1408,10048,371.5,cudaEventRecord
0.7,2222464,3,740821.3,10144.0,7136,2205184,1268176.2,cuMemcpyHtoD_v2
0.5,1545744,2,772872.0,772872.0,766896,778848,8451.3,cuModuleLoadData
0.3,792192,350,2263.4,2096.0,1984,19008,1275.3,cuLaunchKernel
0.1,369936,4,92484.0,85296.0,5168,194176,95082.2,cudaFree
0.1,285840,3,95280.0,96.0,96,285648,164863.5,cuMemFree_v2
0.1,269328,1,269328.0,269328.0,269328,269328,0.0,cuMemAlloc_v2
0.1,186096,2,93048.0,93048.0,83824,102272,13044.7,cuModuleUnload
0.0,42544,2,21272.0,21272.0,18960,23584,3269.7,cuMemGetInfo_v2
0.0,9312,6,1552.0,544.0,192,6960,2657.1,cudaEventDestroy
0.0,8288,6,1381.3,656.0,256,3760,1474.9,cudaEventCreate
0.0,3296,1,3296.0,3296.0,3296,3296,0.0,cuModuleGetLoadingMode
0.0,2592,1,2592.0,2592.0,2592,2592,0.0,cuInit
0.0,608,2,304.0,304.0,288,320,22.6,cuCtxSetCurrent
